outer_fold,fit_patients,fit_channels,global_b0_ez_logit_threshold,safe_logit_low,safe_logit_high,patients_with_disconnected_optimal_intervals,mean_optimal_interval_count,mean_total_optimal_width,mean_oracle_macro_f1,mean_oracle_delta_vs_anchor,mean_anchor_distance_to_optimum,mean_fit_oof_threshold_oracle_distance_a1,training_initial_objective,training_final_objective,linear_weight_l2
1,51,4623,-0.020000666706669543,-3.2766661643981934,4.049077749252319,0,1.0,0.22861330254989512,0.7060094784157163,0.11119162950756163,0.655913253931491,0.3338051512391307,0.310918390750885,0.11461112648248672,2.985021280930641
2,51,4951,1.236762627148927,-3.1472620964050293,4.084546804428101,0,1.0,0.06046264179452669,0.7083073242255223,0.15449087908543238,0.7511121829823134,0.22510359923667306,0.36930814385414124,0.05876640975475311,2.7261744310531393
3,50,4725,0.5322168137473082,-3.224364995956421,4.376582384109497,0,1.0,0.22776632107794284,0.6893337698726087,0.09437826378955083,0.4651656134146363,0.3104587404998602,0.16032592952251434,0.09331272542476654,4.428482570876892
4,52,4943,0.3227733922630512,-5.868236064910889,5.038372039794922,0,1.0,0.24917629826813936,0.703685029789916,0.09541691994770926,0.5794034774306313,0.3674887492491664,0.25809818506240845,0.12937313318252563,2.9505998390668373
5,51,5025,0.20067069546215124,-3.9023189544677734,3.948666572570801,0,1.0,0.2749357561708665,0.6901622682223191,0.08321293541167124,0.5338453922261696,0.3294053795160011,0.23635730147361755,0.09565650671720505,3.881040118625079
