family,threshold_tuning_metric,n,experiments,patient_macro_accuracy_mean,patient_macro_accuracy_std,patient_macro_balanced_accuracy_mean,patient_macro_balanced_accuracy_std,patient_macro_f1_mean,patient_macro_f1_std,patient_macro_ez_precision_mean,patient_macro_ez_precision_std,patient_macro_ez_recall_mean,patient_macro_ez_recall_std,patient_macro_ez_f1_mean,patient_macro_ez_f1_std,patient_macro_auroc_ez_mean,patient_macro_auroc_ez_std,patient_macro_auprc_ez_mean,patient_macro_auprc_ez_std,patient_macro_ez_recall_at_true_count_mean,patient_macro_ez_recall_at_true_count_std,patient_macro_ez_mrr_mean,patient_macro_ez_mrr_std,pooled_accuracy_mean,pooled_accuracy_std,pooled_balanced_accuracy_mean,pooled_balanced_accuracy_std,pooled_macro_f1_mean,pooled_macro_f1_std,pooled_auroc_ez_mean,pooled_auroc_ez_std,pooled_auprc_ez_mean,pooled_auprc_ez_std,ez_auprc_mean,ez_auprc_std,ez_auc_roc_mean,ez_auc_roc_std,ez_mrr_mean,ez_mrr_std,ez_recall_at_true_count_mean,ez_recall_at_true_count_std
B0_HUP_Filtered,patient_macro_weighted_f1,1,B0_HUP_Filtered_seed42,0.8222045752731633,0.0,0.6616841475145999,0.0,0.6273164297268113,0.0,0.5451555465701621,0.0,0.3873867782039844,0.0,0.3634648218190455,0.0,0.8006470288089185,0.0,0.5249460298001836,0.0,0.4704050592518255,0.0,0.7522941468253967,0.0,0.8290170688640377,0.0,0.6182425215863128,0.0,0.6351351676022824,0.0,0.6879334039487057,0.0,0.3611771753167564,0.0,0.5249460298001836,0.0,0.8006470288089185,0.0,0.7522941468253967,0.0,0.4704050592518255,0.0
M1_HUP_StrictInterNorm,patient_macro_weighted_f1,1,M1_HUP_StrictInterNorm_seed42,0.794871383228682,0.0,0.5979761699036186,0.0,0.5783282673769253,0.0,0.4149500598055774,0.0,0.284407149956049,0.0,0.2834117240490519,0.0,0.7502901571940859,0.0,0.42259398080627686,0.0,0.378489683459506,0.0,0.6085323097041846,0.0,0.807533843437316,0.0,0.5924558333611636,0.0,0.6026515500990202,0.0,0.7034396953751132,0.0,0.30658801181716544,0.0,0.42259398080627686,0.0,0.7502901571940859,0.0,0.6085323097041846,0.0,0.378489683459506,0.0
M2_HUP_InterPhysNode,patient_macro_weighted_f1,1,M2_HUP_InterPhysNode_seed42,0.7950710644264858,0.0,0.6248788835758201,0.0,0.5999909782040881,0.0,0.429062440762192,0.0,0.3455085122144946,0.0,0.32749476788995047,0.0,0.7651330556075695,0.0,0.43605176920368816,0.0,0.38251496112597894,0.0,0.6614087301587301,0.0,0.8051795173631549,0.0,0.6046952711434965,0.0,0.6131709350443529,0.0,0.6655213197723253,0.0,0.2919995554605626,0.0,0.43605176920368816,0.0,0.7651330556075695,0.0,0.6614087301587301,0.0,0.38251496112597894,0.0
M3_HUP_InterPhysGraph,patient_macro_weighted_f1,1,M3_HUP_InterPhysGraph_seed42,0.7950710644264858,0.0,0.6248788835758201,0.0,0.5999909782040881,0.0,0.429062440762192,0.0,0.3455085122144946,0.0,0.32749476788995047,0.0,0.7651330556075695,0.0,0.43605176920368816,0.0,0.38251496112597894,0.0,0.6614087301587301,0.0,0.8051795173631549,0.0,0.6046952711434965,0.0,0.6131709350443529,0.0,0.6655213197723253,0.0,0.2919995554605626,0.0,0.43605176920368816,0.0,0.7651330556075695,0.0,0.6614087301587301,0.0,0.38251496112597894,0.0
