experiment,patient_macro_accuracy,patient_macro_balanced_accuracy,patient_macro_macro_f1,patient_macro_f1,patient_macro_weighted_f1,pooled_accuracy,pooled_balanced_accuracy,pooled_macro_f1,pooled_weighted_f1,notes
B0_HUP_Filtered_seed42,0.8222045752731633,0.6616841475145999,0.6273164297268113,0.6273164297268113,0.8025893902252925,0.8290170688640377,0.6182425215863128,0.6351351676022824,0.8135973132933612,
M1_HUP_StrictInterNorm_seed42,0.794871383228682,0.5979761699036186,0.5783282673769253,0.5783282673769253,0.7822540761484075,0.807533843437316,0.5924558333611636,0.6026515500990202,0.7940989389561163,
M2_HUP_InterPhysNode_seed42,0.7950710644264858,0.6248788835758201,0.5999909782040881,0.5999909782040881,0.7863731518254988,0.8051795173631549,0.6046952711434965,0.6131709350443529,0.7960362515384499,
M3_HUP_InterPhysGraph_seed42,0.7950710644264858,0.6248788835758201,0.5999909782040881,0.5999909782040881,0.7863731518254988,0.8051795173631549,0.6046952711434965,0.6131709350443529,0.7960362515384499,
