role,stratifier,tertile,patient_fold_episodes,qstar_trueq_correlation,mean_qstar_minus_trueq,median_qstar_minus_trueq,q10_qstar_minus_trueq,q90_qstar_minus_trueq,fraction_qstar_above_trueq,fraction_qstar_below_trueq,fraction_within_one_channel
fit,overall,all,255,0.7510080821254088,0.00016778741420169784,-0.008849557522123894,-0.14115983026874115,0.1472322375397667,0.42745098039215684,0.5098039215686274,0.13333333333333333
fit,channels,low,85,0.8292642887980115,0.014974825259157875,0.0,-0.09239766081871342,0.14752542372881366,0.38823529411764707,0.4823529411764706,0.23529411764705882
fit,channels,middle,85,0.6099769239754105,-0.02059611812114507,-0.018867924528301883,-0.22973096215230276,0.1373291776552386,0.4235294117647059,0.5647058823529412,0.058823529411764705
fit,channels,high,85,0.7863780592989743,0.006124655104592296,0.0,-0.12795292139554432,0.14723223753976672,0.47058823529411764,0.4823529411764706,0.10588235294117647
fit,ranking_auprc,low,85,0.17312916764505737,0.027362838282910987,0.0,-0.14271827182718272,0.22867444326617192,0.47058823529411764,0.4823529411764706,0.07058823529411765
fit,ranking_auprc,middle,85,0.7391575064844339,0.0018107373207418937,0.0,-0.13788819875776398,0.13840145795365802,0.49411764705882355,0.47058823529411764,0.09411764705882353
fit,ranking_auprc,high,85,0.8796533733875067,-0.02867021336104777,-0.014925373134328356,-0.12766531713900137,0.05370725034199735,0.3176470588235294,0.5764705882352941,0.23529411764705882
fit,true_q,low,85,0.4902911586361933,0.046506538958194024,0.0,-0.043478260869565216,0.21415571284125384,0.4823529411764706,0.38823529411764707,0.18823529411764706
fit,true_q,middle,85,0.3628262526486687,0.001604192229669342,-0.009615384615384609,-0.10714285714285714,0.1321739130434783,0.4470588235294118,0.5176470588235295,0.12941176470588237
fit,true_q,high,85,0.5042344228341974,-0.04760736894525827,-0.03508771929824567,-0.2325581395348837,0.10713443396226419,0.35294117647058826,0.6235294117647059,0.08235294117647059
validation,overall,all,65,0.803693914751815,-0.016003985708276623,-0.02542372881355931,-0.16212765957446804,0.1244444444444445,0.35384615384615387,0.5692307692307692,0.12307692307692308
validation,channels,low,22,0.7776814178743999,-0.0006803923415765518,0.0,-0.1419047619047619,0.13111111111111118,0.4090909090909091,0.45454545454545453,0.18181818181818182
validation,channels,middle,21,0.7203113620567536,-0.042171970986322825,-0.03960396039603964,-0.1702127659574468,0.14150943396226412,0.3333333333333333,0.6190476190476191,0.09523809523809523
validation,channels,high,22,0.9171508523508547,-0.006349047673205319,-0.028169014084507043,-0.06918604651162791,0.09800000000000005,0.3181818181818182,0.6363636363636364,0.09090909090909091
validation,ranking_auprc,low,22,0.2876150295906504,-0.056706187043883596,-0.04676573426573426,-0.1702127659574468,0.09618556701030936,0.18181818181818182,0.8181818181818182,0.0
validation,ranking_auprc,middle,21,0.8249401032940142,0.040954637486967316,0.06741573033707865,-0.09580838323353294,0.1630434782608696,0.6190476190476191,0.3333333333333333,0.047619047619047616
validation,ranking_auprc,high,22,0.9525462351693342,-0.02967137924085705,-0.01100372612948302,-0.12614035087719297,0.019769911504424777,0.2727272727272727,0.5454545454545454,0.3181818181818182
validation,true_q,low,22,0.5649336191318867,-0.009372065469660192,-0.01850928580331547,-0.06386444584119003,0.06685972431368008,0.3181818181818182,0.5454545454545454,0.22727272727272727
validation,true_q,middle,21,0.49285103719566614,-0.013996276908237036,-0.02542372881355931,-0.1702127659574468,0.15555555555555553,0.3333333333333333,0.5714285714285714,0.14285714285714285
validation,true_q,high,22,0.5805823460598715,-0.02455235525602175,-0.027637721755368827,-0.21749999999999997,0.14069182389937107,0.4090909090909091,0.5909090909090909,0.0
