center,patient_macro_f1,patient_ez_f1,patient_nez_f1,patient_balanced_accuracy,patient_ez_auprc,patient_ez_auroc,patient_ez_mrr,top1_is_ez_rate,predicted_ez_count_mae,predicted_ez_fraction_mae,truek_patient_macro_f1,n_patients,n_channels,true_ez_fraction,predicted_ez_fraction,valid_ez_auprc_patients,valid_ez_auroc_patients,experiment,analysis_status
hup,0.6531465870908776,0.44082924742109675,0.8654639267606582,0.695456659086985,0.5162742412315109,0.7939808908749432,0.6920869883040934,0.5555555555555556,10.555555555555555,0.09983238106713282,0.6753689300127136,36,3667,0.1679847286610308,0.20179983637851104,36,36,W_V3_0.00,ABLATION_ONLY_NOT_FOR_MODEL_SELECTION
lzu,0.5792310241268399,0.4381695923958102,0.7202924558578693,0.6117232757853768,0.580434458763711,0.665759709772692,0.7389455782312925,0.6190476190476191,17.428571428571427,0.181516909643766,0.6121424697863039,21,2141,0.38159738439981317,0.2666978047641289,21,21,W_V3_0.00,ABLATION_ONLY_NOT_FOR_MODEL_SELECTION
multicenter,0.6527488671839248,0.4407740354401676,0.864723698927682,0.6952097720689522,0.5065522821482131,0.7552669890682348,0.6616260162601627,0.5333333333333333,6.933333333333334,0.10973061693479577,0.66189462031415,15,925,0.1772972972972973,0.2227027027027027,15,15,W_V3_0.00,ABLATION_ONLY_NOT_FOR_MODEL_SELECTION
pediatric,0.6010955640197055,0.34306336540571336,0.8591277626336976,0.6138383158303344,0.41509766521720204,0.6728103205434488,0.5916135204081632,0.5,15.625,0.13090235595225777,0.6005857944682258,8,902,0.16186252771618626,0.18736141906873613,8,8,W_V3_0.00,ABLATION_ONLY_NOT_FOR_MODEL_SELECTION
hup,0.6518048054254088,0.43882743525760287,0.8647821755932144,0.6941548811654736,0.5283398552349012,0.7976157201865725,0.725380291005291,0.6111111111111112,10.527777777777779,0.09974209964772603,0.6755625790032692,36,3667,0.1679847286610308,0.20207253886010362,36,36,W_V3_0.05,ABLATION_ONLY_NOT_FOR_MODEL_SELECTION
lzu,0.5849187992759018,0.44682258979480904,0.7230150087569944,0.6146826725615524,0.5841938099783668,0.6656178629027745,0.7834467120181406,0.7142857142857143,16.80952380952381,0.17509237556402135,0.6115888567060042,21,2141,0.38159738439981317,0.2671648762260626,21,21,W_V3_0.05,ABLATION_ONLY_NOT_FOR_MODEL_SELECTION
multicenter,0.6577797984653881,0.44846195878476974,0.8670976381460067,0.7046628190219991,0.5052234675387084,0.7559252657571637,0.6633720480061943,0.5333333333333333,7.0,0.10832681585655085,0.6590016351631004,15,925,0.1772972972972973,0.2281081081081081,15,15,W_V3_0.05,ABLATION_ONLY_NOT_FOR_MODEL_SELECTION
pediatric,0.6073497567553902,0.3511547327264239,0.8635447807843564,0.6196458448363162,0.4250055790355548,0.6793454382603268,0.5916666666666666,0.5,15.625,0.12974981322554174,0.6076880671954985,8,902,0.16186252771618626,0.18736141906873613,8,8,W_V3_0.05,ABLATION_ONLY_NOT_FOR_MODEL_SELECTION
hup,0.667620283555719,0.4698649302159791,0.8653756368954592,0.7142697655035933,0.5367420685732246,0.800131233274278,0.7664289799706466,0.6666666666666666,10.38888888888889,0.09635508898857292,0.6757726364953035,36,3667,0.1679847286610308,0.21652577038451049,36,36,W_V3_0.10,EXPLORATORY_LOCKED_FUSION
lzu,0.5846271688799417,0.44788034196646603,0.7213739957934171,0.617368261718397,0.5839380705215635,0.6641840162983472,0.808390022675737,0.7619047619047619,17.047619047619047,0.17840416048651173,0.6143954283663151,21,2141,0.38159738439981317,0.27043437645959834,21,21,W_V3_0.10,EXPLORATORY_LOCKED_FUSION
multicenter,0.676935087898947,0.48002862624940934,0.8738415495484844,0.7277757508597564,0.5056609800103129,0.7553693492223414,0.6649593495934959,0.5333333333333333,6.2,0.1001871035472485,0.6551218537423353,15,925,0.1772972972972973,0.23891891891891892,15,15,W_V3_0.10,EXPLORATORY_LOCKED_FUSION
pediatric,0.6244607693629556,0.3751232993576046,0.8737982393683066,0.6359917554378319,0.44395169991323424,0.6855169997195727,0.6470238095238094,0.625,13.5,0.11387963600507817,0.6218649980051587,8,902,0.16186252771618626,0.18625277161862527,8,8,W_V3_0.10,EXPLORATORY_LOCKED_FUSION
hup,0.6610399329546044,0.4641656113978446,0.8579142545113643,0.7139905915682927,0.546144819823374,0.8039557574695757,0.800512566137566,0.7222222222222222,11.555555555555555,0.10529640643218298,0.6741777404846009,36,3667,0.1679847286610308,0.22634305972184346,36,36,W_V3_0.20,ABLATION_ONLY_NOT_FOR_MODEL_SELECTION
lzu,0.5856603176242576,0.4564216053205672,0.7148990299279477,0.6108175422887241,0.576603923109184,0.6591518557759637,0.7380591630591631,0.6190476190476191,14.619047619047619,0.15046812905197443,0.605863021858904,21,2141,0.38159738439981317,0.2849135917795423,21,21,W_V3_0.20,ABLATION_ONLY_NOT_FOR_MODEL_SELECTION
multicenter,0.6596201847408518,0.4671380425606321,0.8521023269210712,0.7262434385155988,0.5202443820443616,0.7574699661144365,0.7,0.6,9.533333333333333,0.13864591059688888,0.6678942874806215,15,925,0.1772972972972973,0.2864864864864865,15,15,W_V3_0.20,ABLATION_ONLY_NOT_FOR_MODEL_SELECTION
