metric,A1_P0_CURRENT_P2,A3_P2_TEMPORAL_Q10,B1_P2_Q10_ONLY,B2_V3_QBC_ONLY,B3_P2_Q10_V3_LOCKED_FUSION,W_V3_0.00,W_V3_0.05,W_V3_0.10,W_V3_0.20,W_V3_0.50,W_V3_1.00,C1_PROBABILITY_FUSION,C2_LOGIT_FUSION,C3_PATIENT_RANK_FUSION,T0_P2_SCORE_P2_THRESHOLD,T1_FUSION_SCORE_P2_THRESHOLD,T2_FUSION_SCORE_FUSION_THRESHOLD
patient_macro_f1,0.6221447340201696,0.6284640770231468,0.6284640770231468,0.6225383624058317,0.6432651653484063,0.6284640770231468,0.6309220351391573,0.6432651653484063,0.6372482709605034,0.6332168569582292,0.6225383624058317,0.6432651653484063,0.6423511966278715,0.6220430911162732,0.6284640770231468,0.6349093311072593,0.6432651653484063
patient_ez_f1,0.4238025811684395,0.4303441475289965,0.4303441475289965,0.42867992218908446,0.45652550572091266,0.4303441475289965,0.43396536623184534,0.45652550572091266,0.4534901866548121,0.43612684716699324,0.42867992218908446,0.45652550572091266,0.4544577429225239,0.4149239297557642,0.4303441475289965,0.43864153641796283,0.45652550572091266
patient_nez_f1,0.8204868868718996,0.826584006517297,0.826584006517297,0.816396802622579,0.8300048249759001,0.826584006517297,0.8278787040464695,0.8300048249759001,0.8210063552661946,0.8303068667494653,0.816396802622579,0.8300048249759001,0.8302446503332191,0.8291622524767821,0.826584006517297,0.8311771257965557,0.8300048249759001
patient_balanced_accuracy,0.6628484978209584,0.6652685203287666,0.6652685203287666,0.6710497027327393,0.6835376920076838,0.6652685203287666,0.6678127611221272,0.6835376920076838,0.6822080618342594,0.6747060907261815,0.6710497027327393,0.6835376920076838,0.6822146786158308,0.6667304569724537,0.6652685203287666,0.6722055710516163,0.6835376920076838
patient_ez_auprc,0.513980586293251,0.5211757734041642,0.5211757734041642,0.5552540713183796,0.5340242781131186,0.5211757734041642,0.5283337680420901,0.5340242781131186,0.5416465300741724,0.5563781678370863,0.5552540713183796,0.5340242781131186,0.5357151317768952,0.5263750697076837,0.5211757734041642,0.5340242781131186,0.5340242781131186
patient_ez_auroc,0.7369010284009028,0.740946917213695,0.740946917213695,0.7328889767325487,0.7445908122028875,0.740946917213695,0.7433222942514368,0.7445908122028875,0.7463196794047763,0.7439046632064452,0.7328889767325487,0.7445908122028875,0.745276660288148,0.7425069766900547,0.740946917213695,0.7445908122028875,0.7445908122028875
patient_ez_mrr,0.6746868808499009,0.6886285891121532,0.6886285891121532,0.775641728613139,0.7464776809403334,0.6886285891121532,0.7156248185249708,0.7464776809403334,0.7499331132077143,0.7631233030492899,0.775641728613139,0.7464776809403334,0.751904580429733,0.7231515979603738,0.6886285891121532,0.7464776809403334,0.7464776809403334
top1_is_ez_rate,0.5375,0.5625,0.5625,0.6875,0.6625,0.5625,0.6125,0.6625,0.6625,0.6625,0.6875,0.6625,0.675,0.625,0.5625,0.6625,0.6625
predicted_ez_count_mae,12.425,12.1875,12.1875,12.35,11.6625,12.1875,12.025,11.6625,12.3375,12.125,12.35,11.6625,11.7375,13.325,12.1875,11.9875,11.6625
predicted_ez_fraction_mae,0.12869018338889643,0.12623748653219832,0.12623748653219832,0.13066906492567468,0.12036392768818405,0.12623748653219832,0.1241319527226898,0.12036392768818405,0.12602343838994748,0.12790366825725513,0.13066906492567468,0.12036392768818405,0.1212180524209641,0.13821753559100639,0.12623748653219832,0.1244091039616102,0.12036392768818405
truek_patient_macro_f1,0.6412310712491026,0.6487672375803516,0.6487672375803516,0.6572080494563401,0.6503983337462481,0.6487672375803516,0.6488768487494285,0.6503983337462481,0.6510407021642466,0.6585126183715723,0.6572080494563401,0.6503983337462481,0.6508801045795815,0.649367642186774,0.6487672375803516,0.6503983337462481,0.6503983337462481
