experiment,analysis_status,patient_macro_f1,patient_ez_f1,patient_nez_f1,patient_balanced_accuracy,patient_ez_auprc,patient_ez_auroc,patient_ez_mrr,top1_is_ez_rate,predicted_ez_count_mae,predicted_ez_fraction_mae,truek_patient_macro_f1,n_patients,n_channels,true_ez_fraction,predicted_ez_fraction,valid_ez_auprc_patients,valid_ez_auroc_patients
C1_PROBABILITY_FUSION,EXPLORATORY_LOCKED_FUSION,0.6432651653484063,0.45652550572091266,0.8300048249759001,0.6835376920076838,0.5340242781131186,0.7445908122028875,0.7464776809403334,0.6625,11.6625,0.12036392768818405,0.6503983337462481,80.0,7635.0,0.22829076620825148,0.23077930582842174,80.0,80.0
C2_LOGIT_FUSION,ABLATION_ONLY_NOT_FOR_MODEL_SELECTION,0.6423511966278715,0.4544577429225239,0.8302446503332191,0.6822146786158308,0.5357151317768952,0.745276660288148,0.751904580429733,0.675,11.7375,0.1212180524209641,0.6508801045795815,80.0,7635.0,0.22829076620825148,0.2286836935166994,80.0,80.0
C3_PATIENT_RANK_FUSION,ABLATION_ONLY_NOT_FOR_MODEL_SELECTION,0.6220430911162732,0.4149239297557642,0.8291622524767821,0.6667304569724537,0.5263750697076837,0.7425069766900547,0.7231515979603738,0.625,13.325,0.13821753559100639,0.649367642186774,80.0,7635.0,0.22829076620825148,0.2060248853962017,80.0,80.0
