center,patient_macro_f1,patient_ez_f1,patient_nez_f1,patient_balanced_accuracy,patient_ez_auprc,patient_ez_auroc,patient_ez_mrr,top1_is_ez_rate,predicted_ez_count_mae,predicted_ez_fraction_mae,truek_patient_macro_f1,n_patients,n_channels,true_ez_fraction,predicted_ez_fraction,valid_ez_auprc_patients,valid_ez_auroc_patients,experiment,analysis_status
hup,0.667620283555719,0.4698649302159791,0.8653756368954592,0.7142697655035933,0.5367420685732246,0.800131233274278,0.7664289799706466,0.6666666666666666,10.38888888888889,0.09635508898857292,0.6757726364953035,36,3667,0.1679847286610308,0.21652577038451049,36,36,C1_PROBABILITY_FUSION,EXPLORATORY_LOCKED_FUSION
lzu,0.5846271688799417,0.44788034196646603,0.7213739957934171,0.617368261718397,0.5839380705215635,0.6641840162983472,0.808390022675737,0.7619047619047619,17.047619047619047,0.17840416048651173,0.6143954283663151,21,2141,0.38159738439981317,0.27043437645959834,21,21,C1_PROBABILITY_FUSION,EXPLORATORY_LOCKED_FUSION
multicenter,0.676935087898947,0.48002862624940934,0.8738415495484844,0.7277757508597564,0.5056609800103129,0.7553693492223414,0.6649593495934959,0.5333333333333333,6.2,0.1001871035472485,0.6551218537423353,15,925,0.1772972972972973,0.23891891891891892,15,15,C1_PROBABILITY_FUSION,EXPLORATORY_LOCKED_FUSION
pediatric,0.6244607693629556,0.3751232993576046,0.8737982393683066,0.6359917554378319,0.44395169991323424,0.6855169997195727,0.6470238095238094,0.625,13.5,0.11387963600507817,0.6218649980051587,8,902,0.16186252771618626,0.18625277161862527,8,8,C1_PROBABILITY_FUSION,EXPLORATORY_LOCKED_FUSION
hup,0.6662527553364758,0.4672958781477795,0.8652096325251721,0.71238401811346,0.5395841027765579,0.8011100377675939,0.7784887566137565,0.6944444444444444,10.38888888888889,0.09608094267931766,0.6768432383471554,36,3667,0.1679847286610308,0.21543496045814017,36,36,C2_LOGIT_FUSION,ABLATION_ONLY_NOT_FOR_MODEL_SELECTION
lzu,0.5824094218234687,0.44320948452562914,0.7216093591213082,0.6149837609422796,0.5853309315471312,0.6651054181188699,0.808390022675737,0.7619047619047619,17.238095238095237,0.18021104555731404,0.6143954283663151,21,2141,0.38159738439981317,0.2666978047641289,21,21,C2_LOGIT_FUSION,ABLATION_ONLY_NOT_FOR_MODEL_SELECTION
multicenter,0.676935087898947,0.48002862624940934,0.8738415495484844,0.7277757508597564,0.50510302509049,0.7551279364162408,0.6649593495934959,0.5333333333333333,6.2,0.1001871035472485,0.6551218537423353,15,925,0.1772972972972973,0.23891891891891892,15,15,C2_LOGIT_FUSION,ABLATION_ONLY_NOT_FOR_MODEL_SELECTION
pediatric,0.6272965451674436,0.3782674064628123,0.8763256838720749,0.6375067993122108,0.4454609879185544,0.6860048295848226,0.6470238095238094,0.625,13.75,0.11891146841367112,0.6218649980051587,8,902,0.16186252771618626,0.18181818181818182,8,8,C2_LOGIT_FUSION,ABLATION_ONLY_NOT_FOR_MODEL_SELECTION
hup,0.6595285160998486,0.4508941867953758,0.8681628454043218,0.7058320586383283,0.5219810769156,0.7964603269878915,0.7120756172839506,0.5833333333333334,10.5,0.09596317829543972,0.6753139743257767,36,3667,0.1679847286610308,0.20507226615762203,36,36,C3_PATIENT_RANK_FUSION,ABLATION_ONLY_NOT_FOR_MODEL_SELECTION
lzu,0.571667398463167,0.4079507616346887,0.7353840352916452,0.5994472266680761,0.5813400933131421,0.6637607407946041,0.808390022675737,0.7619047619047619,19.904761904761905,0.20478929081029776,0.6131435529835618,21,2141,0.38159738439981317,0.20784680056048577,21,21,C3_PATIENT_RANK_FUSION,ABLATION_ONLY_NOT_FOR_MODEL_SELECTION
multicenter,0.6112639962405912,0.37302693826068445,0.849501054220498,0.6880236189354668,0.5088919434660604,0.7563521638225397,0.6671815718157181,0.5333333333333333,9.333333333333334,0.1492469387796205,0.6653508415123067,15,925,0.1772972972972973,0.22054054054054054,15,15,C3_PATIENT_RANK_FUSION,ABLATION_ONLY_NOT_FOR_MODEL_SELECTION
pediatric,0.6058056747964913,0.3499191984486102,0.8616921511443725,0.6274670503443593,0.43464571201077523,0.6804660437019383,0.6541864451476793,0.625,16.25,0.13293115499176503,0.5977288829843196,8,902,0.16186252771618626,0.19068736141906872,8,8,C3_PATIENT_RANK_FUSION,ABLATION_ONLY_NOT_FOR_MODEL_SELECTION
