variant,metric,seed,patients,delta,ci_low,ci_high
B1,macro_f1,42,80,0.0008078415408349547,-0.0011201972420092985,0.002876790009862416
B1,ez_f1,42,80,-0.0017853845375829618,-0.005209086611156303,0.0013875930437076064
B1,balanced_accuracy,42,80,-4.7533493590239116e-05,-0.0018569245196377387,0.0015889154463002853
B1,ez_auprc,42,80,0.0,0.0,0.0
B1,ez_mrr,42,80,0.0,0.0,0.0
B2,macro_f1,42,80,0.0008713838226267138,-0.001036192489958705,0.002889176313233607
B2,ez_f1,42,80,0.00032983265450872435,-0.002425452115649461,0.0031479190946191817
B2,balanced_accuracy,42,80,0.00040154833113613603,-0.0013159489394470314,0.0020921847812798116
B2,ez_auprc,42,80,-0.0005091299305743672,-0.0011394143970019654,0.00012697151970165573
B2,ez_mrr,42,80,-8.311699483355e-06,-2.227098932815626e-05,0.0
B3,macro_f1,42,80,-0.010358909958707762,-0.0204556551390131,-0.0015751424648491827
B3,ez_f1,42,80,-0.03091158367444195,-0.04849771752693173,-0.015891860044082072
B3,balanced_accuracy,42,80,-0.008928840143313582,-0.01753004579280862,-0.001413144229947286
B3,ez_auprc,42,80,-1.4091523038828063e-05,-0.0006055676443506054,0.0006030479065555988
B3,ez_mrr,42,80,-0.0009955837173579102,-0.0031249999999999993,0.00013824884792626858
