variant,seed,patients,positive_folds_vs_b0,macro_f1,ez_f1,nez_f1,balanced_accuracy,accuracy,ez_auprc,ez_auroc,ez_mrr,top1_is_ez,true_k_recall
B0,42,80,0,0.6161672347405565,0.4238657223879644,0.8084687470931484,0.6641791392268257,0.7393680333912378,0.5319959936611567,0.7268443834107704,0.7330307468267027,0.65,0.4693826135968472
B1,42,80,3,0.6169750762813914,0.42208033785038135,0.8118698147124015,0.6641316057332355,0.7422893214681137,0.5319959936611567,0.7268443834107704,0.7330307468267027,0.65,0.4693826135968472
B2,42,80,2,0.6170386185631832,0.4241955550424731,0.8098816820838932,0.6645806875579618,0.7410770594892425,0.5314868637305823,0.7262330565945965,0.7330224351272193,0.65,0.47163168076102624
B3,42,80,1,0.6058083247818487,0.39295413871352236,0.8186625108501749,0.6552502990835121,0.7468438470176688,0.5319819021381178,0.7271400126384229,0.7320351631093447,0.65,0.4716491411787446
