level,variant,uncertainty_tertile,records,patients,uncertainty_mean,changed_decisions,corrected_decisions,spoiled_decisions,mean_abs_probability_change,delta_patient_macro_f1
channel,B1,0,2545,80,0.7256305097011312,5.0,4.0,1.0,0.08160457376881058,
channel,B1,1,2545,80,0.9112040511048847,6.0,4.0,2.0,0.10571228567884104,
channel,B1,2,2545,80,0.9875749062227126,63.0,38.0,25.0,0.10740182132758419,
patient,B1,0,27,27,0.8149986088871254,,,,,0.00038668154276847404
patient,B1,1,26,26,0.8813455205333784,,,,,-0.0004931448515558096
patient,B1,2,27,27,0.9291728488708805,,,,,0.002481803250092542
channel,B2,0,2545,80,0.7256305097011312,2.0,1.0,1.0,0.002830140752267744,
channel,B2,1,2545,80,0.9112040511048847,9.0,7.0,2.0,0.005297119912557846,
channel,B2,2,2545,80,0.9875749062227126,41.0,23.0,18.0,0.004699659300693594,
patient,B2,0,27,27,0.8149986088871254,,,,,0.0020374392226240414
patient,B2,1,26,26,0.8813455205333784,,,,,0.0012482458451332158
patient,B2,2,27,27,0.9291728488708805,,,,,-0.00065757574719169
channel,B3,0,2545,80,0.7256305097011312,12.0,4.0,8.0,0.11873685582037759,
channel,B3,1,2545,80,0.9112040511048847,201.0,122.0,79.0,0.13535842480968632,
channel,B3,2,2545,80,0.9875749062227126,92.0,60.0,32.0,0.14280294117852607,
patient,B3,0,27,27,0.8149986088871254,,,,,-0.01153353455170716
patient,B3,1,26,26,0.8813455205333784,,,,,-0.017710147157629065
patient,B3,2,27,27,0.9291728488708805,,,,,-0.002105316211191555
