fold,C0_macro_f1,C1_macro_f1,C2_macro_f1,C1_minus_C0,C2_minus_C0,C2_minus_C1,C0_ez_f1,C1_ez_f1,C2_ez_f1
1,0.6549997115717437,0.6413255650769147,0.6448397508339156,-0.01367414649482901,-0.0101599607378281,0.0035141857570009094,0.4924004134795811,0.4664239870988557,0.48241420762323034
2,0.6410958089865288,0.5680168179174053,0.5602769875799992,-0.07307899106912352,-0.08081882140652963,-0.007739830337406106,0.4029429075314936,0.2881902390765259,0.26965348263219685
3,0.6101185971670673,0.5856861893012815,0.5797325757300625,-0.02443240786578582,-0.03038602143700475,-0.00595361357121893,0.34562808423985697,0.3489576177482165,0.3084981783257646
4,0.6329791804569156,0.6411329466954672,0.6095388935502959,0.008153766238551574,-0.0234402869066197,-0.031594053145171275,0.42109990527486596,0.45219901016830916,0.4016043178266661
5,0.5907877503876969,0.49774816786426174,0.5918586131640692,-0.0930395825234352,0.00107086277637225,0.09411044529980744,0.4093974838135933,0.25499989569240394,0.36273196108183703
