variant,fold,selected_epoch,selected_threshold,n_patients,apparent_patient_macro_f1,apparent_patient_ez_f1,apparent_patient_nez_f1,apparent_patient_balanced_accuracy,apparent_patient_ez_auprc,apparent_patient_ez_auroc,apparent_patient_ez_mrr,apparent_top1_is_ez,apparent_predicted_ez_fraction
C0_RAW,1,17,0.550000011920929,13,0.6843441932329756,0.5461802921822498,0.822508094283701,0.7130931822609252,0.5787619393501752,0.7609937526266879,0.7540504367427444,0.6923076923076923,0.31416634813920735
C1_CENTERED,1,26,0.3499999940395355,13,0.6610817587118002,0.5028360490427839,0.8193274683808165,0.693792888945431,0.5728208748148067,0.7593631368647927,0.7028611632270169,0.6153846153846154,0.30706638835266076
C2_ROBUSTZ,1,17,0.3499999940395355,13,0.6543345052324754,0.496061554854709,0.812607455610242,0.6928421334479954,0.5787619393501752,0.7609937526266879,0.7540504367427444,0.6923076923076923,0.3132342843336468
C0_RAW,2,18,0.44999998807907104,13,0.685332024080422,0.4884740430626291,0.8821900050982153,0.7290754895970883,0.6156892922404379,0.7638420494126095,0.7759430904848329,0.7692307692307693,0.24835086390480904
C1_CENTERED,2,5,0.4000000059604645,13,0.6589292749181574,0.4464823166456694,0.8713762331906453,0.707867948650824,0.5820145017642238,0.7581829823992607,0.7807141256024208,0.7692307692307693,0.261931146223118
C2_ROBUSTZ,2,7,0.30000001192092896,13,0.6545986545866513,0.4179078780119768,0.8912894311613258,0.6974430987963112,0.6116637509514086,0.7590296729438712,0.7796310092920263,0.7692307692307693,0.1825444862703269
C0_RAW,3,15,0.4000000059604645,13,0.6255086967529925,0.37038855807012705,0.8806288354358577,0.6570317567403473,0.4566302518746103,0.6948912020557867,0.6247108586106797,0.5384615384615384,0.1696527599184386
C1_CENTERED,3,12,0.3499999940395355,13,0.611753380889202,0.39355841544302994,0.8299483463353738,0.6688202564858722,0.4599639139679959,0.6997595440944668,0.635131962055039,0.5384615384615384,0.28173353223172
C2_ROBUSTZ,3,19,0.30000001192092896,13,0.6152716550810371,0.3615083865083865,0.8690349236536877,0.6397446210599049,0.45381802688637235,0.6880128336884155,0.6371368941136383,0.5384615384615384,0.1838596985731012
C0_RAW,4,24,0.5,13,0.6708144018008348,0.48848799147742866,0.8531408121242409,0.7133449204633716,0.6301317611691153,0.7815897277096633,0.8525641025641024,0.7692307692307693,0.19539815107507896
C1_CENTERED,4,28,0.25,13,0.6684614807609308,0.4941990684331095,0.8427238930887522,0.7167728384561046,0.6342704592555928,0.7794160392528718,0.8531468531468531,0.7692307692307693,0.21513888980341206
C2_ROBUSTZ,4,29,0.30000001192092896,13,0.6428456186177864,0.4537719304338391,0.8319193068017336,0.7157720347092703,0.6365910060375124,0.7786860600737218,0.8531468531468531,0.7692307692307693,0.23102116921135646
C0_RAW,5,29,0.550000011920929,13,0.6073365647427443,0.43170423688957715,0.7829688925959115,0.6844349034390186,0.5191050921303346,0.7184481614751163,0.7611111111111111,0.6923076923076923,0.27837511603953674
C1_CENTERED,5,29,0.3499999940395355,13,0.5712550032747706,0.37968755544482247,0.7628224511047189,0.6711964270653076,0.5191050921303346,0.7184481614751163,0.7611111111111111,0.6923076923076923,0.3092353800132379
C2_ROBUSTZ,5,29,0.25,13,0.5918586131640692,0.36273196108183703,0.8209852652463012,0.6634409574408079,0.5191050921303346,0.7184481614751163,0.7611111111111111,0.6923076923076923,0.1832863601719526
