fold,patient_epoch_cases,raw_logit_mean_mean,raw_logit_std_mean,raw_logit_median_mean,between_patient_epoch_median_std,raw_logit_mad_mean,raw_logit_mad_min
1,390,0.7593982879155022,0.8398485531096059,0.8989578183071736,0.5891888696613954,0.571308199230295,0.049266815185546875
2,390,0.6126521102670693,0.8453098166022547,0.7069651423690793,0.5251438174720618,0.6593678795660918,0.08758847415447235
3,390,0.6846787912822769,0.8198076511069463,0.7399103508259242,0.5866943893754845,0.6546076023616851,0.09603379666805267
4,390,0.937668759297535,0.8561707307305347,1.0584679844574287,0.6343866864064146,0.6293788572868858,0.08855535835027695
5,390,0.5693131134994666,0.726768160335704,0.688910281799065,0.4915051113200139,0.5254782300490217,0.04232911393046379
