model,feature,n_samples,n_cases,n_positive,n_negative,threshold,auroc,auprc,balanced_accuracy,f1,brier
single_logistic::feature_progress,feature_progress,1055,1055,428,627,0.5,0.5,0.4056872037914692,0.5,0.5772083614295347,0.25
single_logistic::feature_prefix_length,feature_prefix_length,1055,1055,428,627,0.5,0.5,0.4056872037914692,0.5,0.5772083614295347,0.25
single_logistic::feature_current_masked_ratio,feature_current_masked_ratio,1055,1055,428,627,0.5,0.5,0.4056872037914692,0.5,0.5772083614295347,0.25
single_logistic::feature_current_committed_ratio,feature_current_committed_ratio,1055,1055,428,627,0.5,0.5,0.4056872037914692,0.5,0.5772083614295347,0.25
single_logistic::feature_current_candidate_token_length,feature_current_candidate_token_length,1055,1055,428,627,0.5,0.5,0.4056872037914692,0.5,0.5772083614295347,0.25
single_logistic::feature_current_text_length,feature_current_text_length,1055,1055,428,627,0.5,0.5195095321140575,0.38976374508017864,0.5071844862794198,0.4648318042813456,0.2488971128712258
single_logistic::feature_current_text_token_length,feature_current_text_token_length,1055,1055,428,627,0.5,0.5261797761182906,0.39599195896084327,0.5082614139426731,0.45654450261780105,0.24873516468544107
single_logistic::feature_current_answer_present,feature_current_answer_present,1055,1055,428,627,0.5,0.5015129156791724,0.4237463287059386,0.5119971232243736,0.058426966292134834,0.24790961884807347
single_logistic::feature_current_answer_length,feature_current_answer_length,1055,1055,428,627,0.5,0.4883270729925919,0.46723034093466614,0.540520800727392,0.39892183288409705,0.24845157295807116
single_logistic::feature_current_answer_token_length,feature_current_answer_token_length,1055,1055,428,627,0.5,0.5015129156791724,0.4237463287059386,0.5119971232243736,0.058426966292134834,0.24790961884807347
single_logistic::feature_current_answer_persistence,feature_current_answer_persistence,1055,1055,428,627,0.5,0.7279546572463444,0.6105977918008793,0.6714774404149711,0.6577777777777778,0.21841240140933338
single_logistic::feature_current_answer_persistence_normalized,feature_current_answer_persistence_normalized,1055,1055,428,627,0.5,0.7279546572463444,0.6105977918008793,0.6714774404149711,0.6577777777777778,0.21841240140933338
single_logistic::feature_current_answer_first_seen_time,feature_current_answer_first_seen_time,1055,1055,428,627,0.5,0.5551413048338774,0.5054081407031525,0.527618163931494,0.4975417895771878,0.24900020686648194
single_logistic::feature_current_answer_first_seen_normalized,feature_current_answer_first_seen_normalized,1055,1055,428,627,0.5,0.5551413048338774,0.5054081407031525,0.527618163931494,0.4975417895771878,0.24900020686648194
single_logistic::feature_recent_answer_change_count,feature_recent_answer_change_count,1055,1055,428,627,0.5,0.7103884392374309,0.6071997093744221,0.6432276528193892,0.5896589658965896,0.2169902841778105
single_logistic::feature_recent_answer_change_rate,feature_recent_answer_change_rate,1055,1055,428,627,0.5,0.7103884392374309,0.6071997093744221,0.6432276528193892,0.5896589658965896,0.2169902841778105
single_logistic::feature_recent_answer_edit_distance,feature_recent_answer_edit_distance,1055,1055,428,627,0.5,0.7073346599293477,0.599149371572899,0.6436748200152036,0.5799769850402762,0.21988570386164835
single_logistic::feature_current_answer_stability,feature_current_answer_stability,1055,1055,428,627,0.5,0.6156840167538643,0.5447649391123344,0.6337253499083307,0.5113636363636364,0.23114351574562958
single_logistic::feature_recent_answer_stability,feature_recent_answer_stability,1055,1055,428,627,0.5,0.7073346599293477,0.599149371572899,0.6436748200152036,0.5799769850402762,0.21988570386164838
single_logistic::feature_recent_answer_stability_slope,feature_recent_answer_stability_slope,1055,1055,428,627,0.5,0.5270983320663596,0.47163700168094463,0.4731327043181445,0.46225535880708296,0.24974981134481763
single_logistic::feature_current_token_change_rate,feature_current_token_change_rate,1055,1055,428,627,0.5,0.5972868130393955,0.44400164441835505,0.5420896123060412,0.4665911664779162,0.24748249704405065
single_logistic::feature_recent_token_change_rate,feature_recent_token_change_rate,1055,1055,428,627,0.5,0.5665962378333259,0.4250701575209045,0.5158651194681692,0.4602332979851538,0.2462893476205802
single_logistic::feature_current_token_stability,feature_current_token_stability,1055,1055,428,627,0.5,0.5972868130393955,0.44400164441835505,0.5420896123060412,0.4665911664779162,0.24748249704405065
single_logistic::feature_recent_stability,feature_recent_stability,1055,1055,428,627,0.5,0.5665962378333259,0.4250701575209045,0.5158651194681692,0.4602332979851538,0.2462893476205802
single_logistic::feature_recent_stability_slope,feature_recent_stability_slope,1055,1055,428,627,0.5,0.46870574907958085,0.388384031876538,0.49481658692185004,0.44490644490644493,0.25027506582009046
single_logistic::feature_current_commit_speed,feature_current_commit_speed,1055,1055,428,627,0.5,0.5,0.4056872037914692,0.5,0.5772083614295347,0.25
single_logistic::feature_recent_commit_speed,feature_recent_commit_speed,1055,1055,428,627,0.5,0.5,0.4056872037914692,0.5,0.5772083614295347,0.25
single_logistic::feature_past_oscillation_count,feature_past_oscillation_count,1055,1055,428,627,0.5,0.5711089001177541,0.4667252537931459,0.5661751553906005,0.5148305084745762,0.24620598047102127
single_logistic::feature_distinct_answers_seen,feature_distinct_answers_seen,1055,1055,428,627,0.5,0.568220945311452,0.47180166564376624,0.5521415582286218,0.4704519119351101,0.24638321455751883
logistic_all_features,__all__,1055,1055,428,627,0.5,0.7338647170176931,0.6171714093360317,0.6781625899923982,0.6364594309799789,0.209342278579705
hist_gradient_boosting_balanced,__all__,1055,1055,428,627,0.5,0.7778473371193488,0.6576361056458098,0.6961890175736708,0.6507072905331882,0.19250255272161698
