task,model,feature,metric,estimate,ci_lower,ci_upper,confidence_level,n_bootstrap,n_valid_bootstrap,n_cases
A_same_current_wrong,logistic_all_features,__all__,auroc,0.5826713395638629,0.5317707033895023,0.6309841626833815,0.95,1000,1000,608
A_same_current_wrong,logistic_all_features,__all__,auprc,0.7570110348454488,0.7094317149874168,0.803043479537519,0.95,1000,1000,608
A_same_current_wrong,logistic_all_features,__all__,balanced_accuracy,0.5581256490134995,0.5155992558488369,0.600742679446541,0.95,1000,1000,608
A_same_current_wrong,logistic_all_features,__all__,f1,0.6683870967741935,0.6253298153034301,0.7039390088945362,0.95,1000,1000,608
A_same_current_wrong,logistic_all_features,__all__,brier,0.24484675160640157,0.23495771619725714,0.25582462096178366,0.95,1000,1000,608
A_same_current_wrong,hist_gradient_boosting_balanced,__all__,auroc,0.6045690550363447,0.5526682435010088,0.6593543502439049,0.95,1000,1000,608
A_same_current_wrong,hist_gradient_boosting_balanced,__all__,auprc,0.7739995410294239,0.7266406879272848,0.8203980020146872,0.95,1000,1000,608
A_same_current_wrong,hist_gradient_boosting_balanced,__all__,balanced_accuracy,0.5884215991692627,0.5456348318583488,0.6291687631780717,0.95,1000,1000,608
A_same_current_wrong,hist_gradient_boosting_balanced,__all__,f1,0.7755102040816326,0.7437933099075401,0.8052805280528053,0.95,1000,1000,608
A_same_current_wrong,hist_gradient_boosting_balanced,__all__,brier,0.2210607601052142,0.2017914970848832,0.24019817947514505,0.95,1000,1000,608
B_same_current_correct,logistic_all_features,__all__,auroc,0.5991879350348028,0.481451405001289,0.7274996349977436,0.95,1000,1000,447
B_same_current_correct,logistic_all_features,__all__,auprc,0.052058427826838824,0.027969062585100887,0.12897535576340385,0.95,1000,1000,447
B_same_current_correct,logistic_all_features,__all__,balanced_accuracy,0.5181989559164732,0.4060169996226237,0.6583518699042893,0.95,1000,1000,447
B_same_current_correct,logistic_all_features,__all__,f1,0.07142857142857142,0.015497958459080424,0.13516584766584763,0.95,1000,1000,447
B_same_current_correct,logistic_all_features,__all__,brier,0.1854272820478218,0.16203578156351794,0.20957826872223828,0.95,1000,1000,447
B_same_current_correct,hist_gradient_boosting_balanced,__all__,auroc,0.5349477958236659,0.4249039020170235,0.6459966568943828,0.95,1000,1000,447
B_same_current_correct,hist_gradient_boosting_balanced,__all__,auprc,0.03780344456699254,0.021557216239442258,0.06662061402233663,0.95,1000,1000,447
B_same_current_correct,hist_gradient_boosting_balanced,__all__,balanced_accuracy,0.4872389791183295,0.4790197536108751,0.4941588785046729,0.95,1000,1000,447
B_same_current_correct,hist_gradient_boosting_balanced,__all__,f1,0.0,0.0,0.0,0.95,1000,1000,447
B_same_current_correct,hist_gradient_boosting_balanced,__all__,brier,0.05467987417774309,0.03731202367696519,0.07182095893739601,0.95,1000,1000,447
C_same_final_correct,logistic_all_features,__all__,auroc,0.8030932194201704,0.7741834071956061,0.8317718574931716,0.95,1000,1000,859
C_same_final_correct,logistic_all_features,__all__,auprc,0.7936148343074136,0.7569279379601397,0.8323574184810159,0.95,1000,1000,859
C_same_final_correct,logistic_all_features,__all__,balanced_accuracy,0.73225979573693,0.7009584925231684,0.7590585811632768,0.95,1000,1000,859
C_same_final_correct,logistic_all_features,__all__,f1,0.7325581395348837,0.6987048382276073,0.7633214577828111,0.95,1000,1000,859
C_same_final_correct,logistic_all_features,__all__,brier,0.18112550629831226,0.16769199500677584,0.19470393416212464,0.95,1000,1000,859
C_same_final_correct,hist_gradient_boosting_balanced,__all__,auroc,0.8645835592081011,0.840841005704123,0.8865781375638301,0.95,1000,1000,859
C_same_final_correct,hist_gradient_boosting_balanced,__all__,auprc,0.8389917055518888,0.8027533168567604,0.8755481214150677,0.95,1000,1000,859
C_same_final_correct,hist_gradient_boosting_balanced,__all__,balanced_accuracy,0.7835396925211962,0.7547726486729543,0.8085298574188374,0.95,1000,1000,859
C_same_final_correct,hist_gradient_boosting_balanced,__all__,f1,0.7871853546910755,0.757017130284457,0.8143259912550559,0.95,1000,1000,859
C_same_final_correct,hist_gradient_boosting_balanced,__all__,brier,0.1502405464612834,0.13538055920999495,0.16644567802069013,0.95,1000,1000,859
D_same_final_wrong,logistic_all_features,__all__,auroc,0.6986111111111111,0.5881899578651686,0.7908603018009711,0.95,1000,1000,196
D_same_final_wrong,logistic_all_features,__all__,auprc,0.13773272485970883,0.07959780553211422,0.25099655489878486,0.95,1000,1000,196
D_same_final_wrong,logistic_all_features,__all__,balanced_accuracy,0.6048611111111111,0.4730936962231682,0.7328234084014108,0.95,1000,1000,196
D_same_final_wrong,logistic_all_features,__all__,f1,0.21875,0.0815918367346939,0.34782608695652173,0.95,1000,1000,196
D_same_final_wrong,logistic_all_features,__all__,brier,0.18399954613128022,0.15222085431938764,0.21861766644318217,0.95,1000,1000,196
D_same_final_wrong,hist_gradient_boosting_balanced,__all__,auroc,0.5420138888888888,0.40463107612810195,0.6700389881500584,0.95,1000,1000,196
D_same_final_wrong,hist_gradient_boosting_balanced,__all__,auprc,0.09068384001499932,0.05369330001627576,0.15833668342103177,0.95,1000,1000,196
D_same_final_wrong,hist_gradient_boosting_balanced,__all__,balanced_accuracy,0.46111111111111114,0.441340782122905,0.48011363636363635,0.95,1000,1000,196
D_same_final_wrong,hist_gradient_boosting_balanced,__all__,f1,0.0,0.0,0.0,0.95,1000,1000,196
D_same_final_wrong,hist_gradient_boosting_balanced,__all__,brier,0.11756343942054652,0.08501066143059938,0.151476765149522,0.95,1000,1000,196
