model,feature,metric,estimate,ci_lower,ci_upper,confidence_level,n_bootstrap,n_valid_bootstrap,n_cases
single_logistic::feature_progress,feature_progress,auroc,0.5,0.5,0.5,0.95,1000,1000,1055
single_logistic::feature_progress,feature_progress,auprc,0.4056872037914692,0.376303317535545,0.43412322274881515,0.95,1000,1000,1055
single_logistic::feature_progress,feature_progress,balanced_accuracy,0.5,0.5,0.5,0.95,1000,1000,1055
single_logistic::feature_progress,feature_progress,f1,0.5772083614295347,0.546831955922865,0.6054196959682749,0.95,1000,1000,1055
single_logistic::feature_progress,feature_progress,brier,0.25,0.25,0.25,0.95,1000,1000,1055
single_logistic::feature_prefix_length,feature_prefix_length,auroc,0.5,0.5,0.5,0.95,1000,1000,1055
single_logistic::feature_prefix_length,feature_prefix_length,auprc,0.4056872037914692,0.376303317535545,0.43412322274881515,0.95,1000,1000,1055
single_logistic::feature_prefix_length,feature_prefix_length,balanced_accuracy,0.5,0.5,0.5,0.95,1000,1000,1055
single_logistic::feature_prefix_length,feature_prefix_length,f1,0.5772083614295347,0.546831955922865,0.6054196959682749,0.95,1000,1000,1055
single_logistic::feature_prefix_length,feature_prefix_length,brier,0.25,0.25,0.25,0.95,1000,1000,1055
single_logistic::feature_current_masked_ratio,feature_current_masked_ratio,auroc,0.5,0.5,0.5,0.95,1000,1000,1055
single_logistic::feature_current_masked_ratio,feature_current_masked_ratio,auprc,0.4056872037914692,0.376303317535545,0.43412322274881515,0.95,1000,1000,1055
single_logistic::feature_current_masked_ratio,feature_current_masked_ratio,balanced_accuracy,0.5,0.5,0.5,0.95,1000,1000,1055
single_logistic::feature_current_masked_ratio,feature_current_masked_ratio,f1,0.5772083614295347,0.546831955922865,0.6054196959682749,0.95,1000,1000,1055
single_logistic::feature_current_masked_ratio,feature_current_masked_ratio,brier,0.25,0.25,0.25,0.95,1000,1000,1055
single_logistic::feature_current_committed_ratio,feature_current_committed_ratio,auroc,0.5,0.5,0.5,0.95,1000,1000,1055
single_logistic::feature_current_committed_ratio,feature_current_committed_ratio,auprc,0.4056872037914692,0.376303317535545,0.43412322274881515,0.95,1000,1000,1055
single_logistic::feature_current_committed_ratio,feature_current_committed_ratio,balanced_accuracy,0.5,0.5,0.5,0.95,1000,1000,1055
single_logistic::feature_current_committed_ratio,feature_current_committed_ratio,f1,0.5772083614295347,0.546831955922865,0.6054196959682749,0.95,1000,1000,1055
single_logistic::feature_current_committed_ratio,feature_current_committed_ratio,brier,0.25,0.25,0.25,0.95,1000,1000,1055
single_logistic::feature_current_candidate_token_length,feature_current_candidate_token_length,auroc,0.5,0.5,0.5,0.95,1000,1000,1055
single_logistic::feature_current_candidate_token_length,feature_current_candidate_token_length,auprc,0.4056872037914692,0.376303317535545,0.43412322274881515,0.95,1000,1000,1055
single_logistic::feature_current_candidate_token_length,feature_current_candidate_token_length,balanced_accuracy,0.5,0.5,0.5,0.95,1000,1000,1055
single_logistic::feature_current_candidate_token_length,feature_current_candidate_token_length,f1,0.5772083614295347,0.546831955922865,0.6054196959682749,0.95,1000,1000,1055
single_logistic::feature_current_candidate_token_length,feature_current_candidate_token_length,brier,0.25,0.25,0.25,0.95,1000,1000,1055
single_logistic::feature_current_text_length,feature_current_text_length,auroc,0.5195095321140575,0.48551088809151244,0.5506670265589384,0.95,1000,1000,1055
