model,repeat,fold,n_samples,n_positive,auroc,auprc,balanced_accuracy,f1,brier
hist_gradient_boosting_balanced,0,0,211,85,0.742203548085901,0.6146766932692191,0.6645191409897292,0.6210526315789474,0.215216773106551
hist_gradient_boosting_balanced,0,1,211,85,0.7958916900093371,0.6986894370696235,0.6943510737628384,0.6444444444444445,0.18383684060266267
hist_gradient_boosting_balanced,0,2,211,86,0.7412093023255814,0.6320237344341256,0.649953488372093,0.5966850828729282,0.21686345156809417
hist_gradient_boosting_balanced,0,3,211,86,0.7834418604651163,0.6728569730853302,0.6913953488372093,0.6404494382022472,0.18814511988262297
hist_gradient_boosting_balanced,0,4,211,86,0.770418604651163,0.6323575741266647,0.7015813953488372,0.6473988439306358,0.19902730303737406
hist_gradient_boosting_balanced,1,0,211,85,0.7571428571428571,0.6478224904158633,0.6962651727357609,0.6483516483516484,0.20588484416297942
hist_gradient_boosting_balanced,1,1,211,85,0.7363211951447246,0.5890775092970908,0.6583566760037348,0.6231155778894473,0.20771902382449237
hist_gradient_boosting_balanced,1,2,211,86,0.7982325581395349,0.703913362546869,0.689953488372093,0.631578947368421,0.18523441880950312
hist_gradient_boosting_balanced,1,3,211,86,0.8237209302325582,0.7269494770349857,0.7699069767441861,0.7303370786516854,0.1698358388355777
hist_gradient_boosting_balanced,1,4,211,86,0.7489302325581396,0.6521687802506374,0.6884651162790698,0.6492146596858639,0.21080023738753847
hist_gradient_boosting_balanced,2,0,211,85,0.7330532212885155,0.6139417498502343,0.6664332399626518,0.625,0.2174096959991408
hist_gradient_boosting_balanced,2,1,211,85,0.7663865546218488,0.6363876708357677,0.6531746031746032,0.5895953757225434,0.20441092058824656
hist_gradient_boosting_balanced,2,2,211,86,0.7463255813953489,0.6098688617070293,0.6910232558139535,0.644808743169399,0.20834374420702867
hist_gradient_boosting_balanced,2,3,211,86,0.8144186046511628,0.7460950984510297,0.7052093023255814,0.655367231638418,0.17363539236207098
hist_gradient_boosting_balanced,2,4,211,86,0.8078139534883721,0.6815551565249789,0.7240930232558139,0.6844919786096256,0.1803972105452222
