center,audit_rows,loaded_patients,skipped_patients,loaded_seizures,skipped_seizures,status
lzu,0,0,0,0,0,no_rows_audited
hup,0,0,0,0,0,no_rows_audited
multicenter,1,0,1,0,0,source_root_missing
