outer_fold,patient_macro_f1,patient_ez_f1,patient_nez_f1,patient_balanced_accuracy,patient_ez_auprc,patient_ez_auroc,patient_ez_mrr,top1_is_ez_rate,predicted_ez_count_mae,predicted_ez_fraction_mae,truek_patient_macro_f1,n_patients,n_channels,true_ez_fraction,predicted_ez_fraction,valid_ez_auprc_patients,valid_ez_auroc_patients,experiment,analysis_status
1,0.594415194492013,0.3977678276283735,0.7910625613556523,0.6729717276996598,0.4835656473138271,0.7247993873513221,0.6276785714285714,0.4375,17.0625,0.17720149648055378,0.6134732526779128,16,1631,0.2305334150827713,0.23973022685469036,16,16,PRQ-Net,PRIMARY_CONFIRMATORY_FINAL_BCR_RETRAIN
2,0.6500487571712379,0.4170765411465644,0.8830209731959113,0.6798461334522505,0.4678473414999617,0.7577957993519926,0.7161077235772357,0.625,8.875,0.08183135764153478,0.6447564443744823,16,1498,0.157543391188251,0.1882510013351135,16,16,PRQ-Net,PRIMARY_CONFIRMATORY_FINAL_BCR_RETRAIN
3,0.6136282354625638,0.36775816641176545,0.859498304513362,0.639406913473745,0.491857366054089,0.7737187425093397,0.5704979360165119,0.35294117647058826,14.117647058823529,0.13446089185676585,0.6609575074698149,17,1746,0.2124856815578465,0.14948453608247422,17,17,PRQ-Net,PRIMARY_CONFIRMATORY_FINAL_BCR_RETRAIN
4,0.6156242857197968,0.4557557833454237,0.7754927880941699,0.6215824269936789,0.534001226904298,0.6883519796416364,0.6896938775510204,0.6,10.2,0.11557539453716663,0.6243492807338147,15,1425,0.28912280701754384,0.2617543859649123,15,15,PRQ-Net,PRIMARY_CONFIRMATORY_FINAL_BCR_RETRAIN
5,0.6687286654111995,0.518862270171209,0.81859506065119,0.7114213696194946,0.6312357848988496,0.7547129392610157,0.8466145833333334,0.8125,10.4375,0.12093794856249568,0.6980116884747336,16,1335,0.2606741573033708,0.28389513108614234,16,16,PRQ-Net,PRIMARY_CONFIRMATORY_FINAL_BCR_RETRAIN
1,0.5877845510734102,0.40051752301214427,0.7750515791346761,0.6633901899395837,0.5331637385848114,0.7011975406345535,0.7960069444444444,0.75,16.375,0.1659296896339449,0.6353785193558498,16,1631,0.2305334150827713,0.27713059472716123,16,16,BCR-Net,PRIMARY_CONFIRMATORY_FINAL_BCR_RETRAIN
2,0.6478112059339852,0.43056462220058234,0.865057789667388,0.7150769769803529,0.5132276707643364,0.7579659528631568,0.7671493902439024,0.625,8.625,0.09367491401775942,0.6620852501491485,16,1498,0.157543391188251,0.21228304405874499,16,16,BCR-Net,PRIMARY_CONFIRMATORY_FINAL_BCR_RETRAIN
3,0.6505322147074037,0.45694981047552746,0.8441146189392799,0.7030635574576508,0.5646741610892738,0.7645878558275443,0.787091503267974,0.7058823529411765,14.529411764705882,0.13302613917666273,0.6688558997331697,17,1746,0.2124856815578465,0.20504009163802978,17,17,BCR-Net,PRIMARY_CONFIRMATORY_FINAL_BCR_RETRAIN
4,0.5828616234845626,0.38354567296740777,0.7821775740017175,0.5922902913835878,0.5381301909805573,0.6595216287895462,0.747646862483311,0.6666666666666666,11.4,0.135530637737914,0.6128718841669287,15,1425,0.28912280701754384,0.20421052631578948,15,15,BCR-Net,PRIMARY_CONFIRMATORY_FINAL_BCR_RETRAIN
5,0.663549698475332,0.5174926074431874,0.8096067895074767,0.718326526685886,0.6607002698506174,0.7874621941211649,0.7736111111111111,0.6875,10.5625,0.1287416508839132,0.73876085982692,16,1335,0.2606741573033708,0.3153558052434457,16,16,BCR-Net,PRIMARY_CONFIRMATORY_FINAL_BCR_RETRAIN
1,0.5963662590102712,0.4112875312054898,0.7814449868150527,0.6772392597023198,0.5190001275762368,0.7258645452105262,0.7359375,0.625,17.25,0.17719133127847947,0.6259289623148194,16,1631,0.2305334150827713,0.269773145309626,16,16,CDEL,PRIMARY_CONFIRMATORY_FINAL_BCR_RETRAIN
2,0.6730360689378544,0.46413500548070574,0.8819371323950032,0.7231291581159742,0.4845205789743926,0.7623393879951735,0.7299107142857143,0.625,9.6875,0.09278097554925144,0.6481915769350349,16,1498,0.157543391188251,0.2129506008010681,16,16,CDEL,PRIMARY_CONFIRMATORY_FINAL_BCR_RETRAIN
3,0.6600922055117882,0.46247933373208694,0.8577050772914895,0.6984804245098865,0.525118463510128,0.7858055363107923,0.7330882352941176,0.6470588235294118,13.352941176470589,0.12166118938274323,0.6585297005331578,17,1746,0.2124856815578465,0.2016036655211913,17,17,CDEL,PRIMARY_CONFIRMATORY_FINAL_BCR_RETRAIN
4,0.613461745293596,0.44696366631251705,0.7799598242746748,0.618805978234388,0.5465515920383908,0.6935543696161571,0.7146947496947498,0.6666666666666666,9.933333333333334,0.11518284090117906,0.6243702187179032,15,1425,0.28912280701754384,0.24912280701754386,15,15,CDEL,PRIMARY_CONFIRMATORY_FINAL_BCR_RETRAIN
5,0.6770731269168418,0.5149390572105687,0.8392071966231149,0.7175122112875715,0.6423514213657324,0.7626671279650997,0.8601661392405063,0.8125,9.625,0.11235495759991529,0.7048079922999544,16,1335,0.2606741573033708,0.24119850187265918,16,16,CDEL,PRIMARY_CONFIRMATORY_FINAL_BCR_RETRAIN
