variant,metric,n_patients,mean,descriptive_ci95_low,descriptive_ci95_high,bootstrap_replicates
R0,patient_macro_f1,80,0.622503809558048,0.5920281674598203,0.6528434000254895,2000
R0,patient_macro_ez_f1,80,0.42847843780491496,0.37969116274674114,0.4755304462051089,2000
R0,patient_macro_balanced_accuracy,80,0.6772998989090558,0.6426828449718234,0.7114020853591783,2000
R0,patient_macro_auprc_ez,80,0.5507451025875568,0.4948426135401511,0.6057929520653911,2000
