fold,variant,selected_epoch,validation_selected_threshold,n_patients,patient_macro_f1,patient_macro_ez_f1,patient_macro_nez_f1,patient_macro_balanced_accuracy,patient_macro_auprc_ez,patient_macro_auroc_ez,patient_macro_ez_mrr,top1_is_ez_rate,predicted_ez_fraction
1,R0,20,0.550000011920929,16,0.5582535422467843,0.3783355384186536,0.7381715460749148,0.6459383265776628,0.5238450645718831,0.7117513204678759,0.7433035714285714,0.625,0.33367833302059136
2,R0,18,0.44999998807907104,16,0.610057148261146,0.39335659988519645,0.8267576966370955,0.6937402935052306,0.47077972050077155,0.7436057651500988,0.7296493902439025,0.625,0.2801125034620635
3,R0,6,0.4000000059604645,17,0.6525351650493587,0.43108005857867665,0.8739902715200409,0.6957703591549022,0.5318490187073807,0.7710327507786453,0.7637254901960784,0.6470588235294118,0.14833596190721066
4,R0,15,0.5,15,0.6033694267927482,0.41350218098340435,0.793236672602092,0.6073961389938074,0.5531548950346085,0.6700785907199686,0.7167965367965368,0.6666666666666666,0.21446356345390888
5,R0,27,0.5,16,0.6852309067991649,0.525019193808939,0.8454426197893907,0.7381309875536072,0.6754284313935921,0.7923385567940204,0.896780303030303,0.875,0.2421038645216162
