variant,fold,epoch,loss,bce,n_channels_all_windows_invalid,patient_equal_bce,soft_macro_f1_loss,soft_nez_f1,soft_ez_f1,beta
A0,1,1,0.6718414494624505,0.6718414494624505,0.0,,,,,
A0,1,2,0.6586946042684408,0.6586946042684408,0.0,,,,,
A0,1,3,0.6440255183439988,0.6440255183439988,0.0,,,,,
A0,1,4,0.6338236033916473,0.6338236033916473,0.0,,,,,
A0,1,5,0.6304738544500791,0.6304738544500791,0.0,,,,,
A0,1,6,0.6179215678801904,0.6179215678801904,0.0,,,,,
A0,1,7,0.6084266270582492,0.6084266270582492,0.0,,,,,
A0,1,8,0.6008181056151023,0.6008181056151023,0.0,,,,,
A0,1,9,0.604825476041207,0.604825476041207,0.0,,,,,
A0,1,10,0.5913756249042658,0.5913756249042658,0.0,,,,,
A0,1,11,0.5863621544379455,0.5863621544379455,0.0,,,,,
A0,1,12,0.5804210236439338,0.5804210236439338,0.0,,,,,
A0,1,13,0.5788378520653799,0.5788378520653799,0.0,,,,,
A0,1,14,0.5780078080984262,0.5780078080984262,0.0,,,,,
A0,1,15,0.5678844658228067,0.5678844658228067,0.0,,,,,
A0,1,16,0.5636046402729474,0.5636046402729474,0.0,,,,,
A0,1,17,0.5644526516015713,0.5644526516015713,0.0,,,,,
A0,1,18,0.5711230291770055,0.5711230291770055,0.0,,,,,
A0,1,19,0.5747583233393155,0.5747583233393155,0.0,,,,,
A0,1,20,0.5644867488971124,0.5644867488971124,0.0,,,,,
A0,1,21,0.5659378388753304,0.5659378388753304,0.0,,,,,
A0,1,22,0.549733198606051,0.549733198606051,0.0,,,,,
A0,1,23,0.5584031561246285,0.5584031561246285,0.0,,,,,
A0,1,24,0.5506832771576368,0.5506832771576368,0.0,,,,,
A0,1,25,0.5517550179591546,0.5517550179591546,0.0,,,,,
A0,1,26,0.5524525928955811,0.5524525928955811,0.0,,,,,
A0,1,27,0.5471793734110318,0.5471793734110318,0.0,,,,,
A0,1,28,0.5441374262938132,0.5441374262938132,0.0,,,,,
A0,1,29,0.5366774442104193,0.5366774442104193,0.0,,,,,
A0,1,30,0.5322902913276966,0.5322902913276966,0.0,,,,,
A1,1,1,0.6712248485821944,0.6712248485821944,,0.6712248485821944,,,,
A1,1,2,0.6555723272837125,0.6555723272837125,,0.6555723272837125,,,,
A1,1,3,0.6405769701187427,0.6405769701187427,,0.6405769701187427,,,,
A1,1,4,0.6299735857890203,0.6299735857890203,,0.6299735857890203,,,,
A1,1,5,0.6240799495807061,0.6240799495807061,,0.6240799495807061,,,,
A1,1,6,0.6103259256252875,0.6103259256252875,,0.6103259256252875,,,,
A1,1,7,0.5945412023709371,0.5945412023709371,,0.5945412023709371,,,,
A1,1,8,0.5891418938453381,0.5891418938453381,,0.5891418938453381,,,,
A1,1,9,0.5913477608790765,0.5913477608790765,,0.5913477608790765,,,,
