variant,fold,selected_epoch,selected_threshold,n_patients,apparent_patient_macro_f1,apparent_patient_ez_f1,apparent_patient_nez_f1,apparent_patient_balanced_accuracy,apparent_patient_ez_auprc,apparent_patient_ez_auroc,apparent_patient_ez_mrr,apparent_top1_is_ez,apparent_predicted_ez_fraction,checkpoint_sha256
A0,1,13,0.5,13,0.6809144070113227,0.5283606218110056,0.8334681922116397,0.6928352670103235,0.5726367189936118,0.7515433351817467,0.7539519541946725,0.6923076923076923,0.26608904785331905,1d45969d6071df1591e765fe227e0095d07df7561503e65b27a6086350bb5d21
A1,1,17,0.550000011920929,13,0.6843441932329756,0.5461802921822498,0.822508094283701,0.7130931822609252,0.5787619393501752,0.7609937526266879,0.7540504367427444,0.6923076923076923,0.31416634813920735,192cfdd784be3ada1908a9ee53bddee7dc5cd7a9b5688529fba3b02600cad7f2
A2,1,17,0.550000011920929,13,0.683534441714645,0.5448448575031715,0.8222240259261182,0.7117160337683921,0.5784421779935411,0.7607633323539496,0.7554334554334553,0.6923076923076923,0.31331204097444415,bc4b0d3971d9123ce76c576c94e55723fa5fc021a42071af7bba08c61578e21e
A0,2,18,0.44999998807907104,13,0.6816310041868004,0.4843871415538476,0.8788748668197532,0.7263395561293273,0.6131625540528077,0.7645976481236048,0.7374381176426129,0.6923076923076923,0.2533053142655811,84c67f1b72b464e5db4243934a8226c1f4b435ab06b87096921a07e126c9657b
A1,2,18,0.44999998807907104,13,0.685332024080422,0.4884740430626291,0.8821900050982153,0.7290754895970883,0.6156892922404379,0.7638420494126095,0.7759430904848329,0.7692307692307693,0.24835086390480904,8ffd715fa37fdde525cf61bc7de5e21bec815d3337c0bbbf424720215e5016ed
A2,2,18,0.44999998807907104,13,0.6846284222174934,0.48741303510506945,0.8818438093299176,0.7287750088278576,0.615529728933267,0.7636606208284378,0.7759430904848329,0.7692307692307693,0.24892491671766784,a20bcc959d9ff5a7689365b4abdcdf533e35db91516854e5d27dd69c539f0c99
A0,3,6,0.4000000059604645,13,0.6224111416757735,0.35812251842612375,0.8866997649254229,0.6366464431762083,0.42563001773444803,0.6829743062297168,0.6228114872931947,0.5384615384615384,0.1478898493735726,c93842919a348263b89d18ce06fa2b74e8c09e67e5858e7a8445bfeec34ecca4
A1,3,15,0.4000000059604645,13,0.6255086967529925,0.37038855807012705,0.8806288354358577,0.6570317567403473,0.4566302518746103,0.6948912020557867,0.6247108586106797,0.5384615384615384,0.1696527599184386,c020e5d551b42459e264efc1ac00d05fd91ed342f16da48cfc6c1231d50cd39a
A2,3,14,0.4000000059604645,13,0.625630259408229,0.37152692079162664,0.8797335980248312,0.6568417180887701,0.4583599150914853,0.6955725491436535,0.631121115020936,0.5384615384615384,0.1727713076682156,3b70747b5a4f92264fd6556eb507b99de67021c6983032bce54ea80230794f83
A0,4,22,0.44999998807907104,13,0.6711541086316491,0.48154789055365393,0.8607603267096443,0.6968484436078255,0.6318080955441716,0.7828286694268456,0.8525641025641024,0.7692307692307693,0.16601337687943948,80d96a735ae07cc0e7764fea230fde0e640e385943033ca4a32af4cd0ff9a45e
A1,4,24,0.5,13,0.6708144018008348,0.48848799147742866,0.8531408121242409,0.7133449204633716,0.6301317611691153,0.7815897277096633,0.8525641025641024,0.7692307692307693,0.19539815107507896,93521f8da3975b070ab6c63c4f5db29d28d28377c8225205ee3ab3fa6d55bda5
A2,4,24,0.44999998807907104,13,0.6700553520685539,0.4788794413727574,0.8612312627643504,0.6937842469800888,0.6300216609110131,0.7812085753296234,0.8525641025641024,0.7692307692307693,0.16357822568842315,265e1a460bdc4671a5a8598e52702624ca6db7ea22646933f5c84b29ad3a9f3e
A0,5,29,0.550000011920929,13,0.6074945872672629,0.43884510614431527,0.7761440683902106,0.6891217962597375,0.510307065912417,0.7193280680474091,0.6871794871794871,0.5384615384615384,0.2935028334712779,15d74b1ad795fff5df36ebeb2e0071b428364a5d5879ccb1cf3464c5e975765c
A1,5,29,0.550000011920929,13,0.6073365647427443,0.43170423688957715,0.7829688925959115,0.6844349034390186,0.5191050921303346,0.7184481614751163,0.7611111111111111,0.6923076923076923,0.27837511603953674,5c665f4b0444e42dba3f1a34d40b5f7a7fb1db431ffa26bdc596580561e1a179
A2,5,29,0.550000011920929,13,0.6069215053707308,0.4305247702907285,0.7833182404507332,0.6842549664169764,0.5177014769628682,0.7183427787884356,0.7611111111111111,0.6923076923076923,0.27688019586537127,53c24e9bbfed2846e2399630b19c38c5de1e3dd37f1115dadd67ad0d4e743405
