variant,fold,fit_patients,per_patient_weighted_bce_mean,per_patient_weighted_bce_std,channel_count_vs_patient_loss_correlation
A0,1,51,0.4991179652073804,0.1628804639797952,0.03558646772756841
A1,1,51,0.499076060220307,0.17189057105000408,0.0867019450528889
A2,1,51,0.499206793366694,0.17882011381384919,0.08560836655952485
A0,2,51,0.5298885156710943,0.16473562587652124,-0.11154697284538125
A1,2,51,0.5294277741044175,0.16977740502328356,-0.07302100104596805
A2,2,51,0.5293188130154329,0.17560757667905974,-0.0730361195622989
A0,3,50,0.5129434263706207,0.1686477349799185,-0.16505435809011776
A1,3,50,0.5140660059452057,0.17384720392748657,-0.11076007879870473
A2,3,50,0.5145837131142617,0.18163139874329273,-0.11156213692418197
A0,4,52,0.48582179042009205,0.17675057927262897,0.017359751673182017
A1,4,52,0.4808117477939679,0.18523443420402164,0.0736725919455655
A2,4,52,0.48106566530007583,0.19181332668380432,0.07383735166918913
A0,5,51,0.5029946489661348,0.1568346260998197,-0.22048488173764896
A1,5,51,0.5001406944265553,0.1623739569769268,-0.15752967850822763
A2,5,51,0.4997774453139773,0.16860189239351384,-0.1553696803057145
