lambda,patients,ez_auprc,ez_auroc,ez_mrr,top1_is_ez,true_k_recall,oracle_macro_f1
0.0,80,0.5319959936611567,0.7268443834107704,0.7330307468267027,0.65,0.4693826135968472,0.702601867954175
0.1,80,0.5358288359457614,0.7279522342129703,0.7473151941516444,0.675,0.47744319301046473,0.7039436504247748
0.2,80,0.536966436785014,0.7291778663471596,0.7390215768708417,0.65,0.4757726254058837,0.7057036182935079
0.3,80,0.5419026199367455,0.7306474995932333,0.7511534042159043,0.6625,0.4824253349777461,0.7056681327275373
0.4,80,0.5454788277400837,0.7334352739736619,0.7672684937429656,0.675,0.48542697408823426,0.7082599498810781
0.5,80,0.5450252541729471,0.7356572799538535,0.7729263100954278,0.6875,0.4894440079423643,0.7074341599560029
0.6,80,0.5549895137020714,0.7386114924212256,0.7823881378926372,0.7,0.4928992014754667,0.711601397228076
0.7,80,0.5585274189906165,0.7400046848467583,0.7869677219778889,0.7125,0.4903329718093138,0.7124345595321431
0.8,80,0.5595630597956621,0.7386300264159003,0.7792380616799222,0.7,0.5007122346734694,0.7131568679532442
0.9,80,0.5631859216190591,0.7369537752393288,0.7913425014314669,0.725,0.49692676210889264,0.7124472828256355
1.0,80,0.5623110058802782,0.7354603622851681,0.7747942203199568,0.6875,0.4981625433452276,0.7120108813236159
