hardest_channel_fraction,score,eligible_patients_with_both_classes,ez_auprc,ez_auroc,ez_mrr,top1_is_ez,true_k_recall
0.1,B0,63,0.6055346569844868,0.5925331260450308,0.7144248608534324,0.5555555555555556,0.45431468883849835
0.1,BCR,63,0.6234770625394435,0.5934246661627615,0.6636428386428387,0.5238095238095238,0.5046794475365903
0.1,GLOBAL_ORACLE_MIX,63,0.6234536832983771,0.5948188517831375,0.6642921892921894,0.5238095238095238,0.48997801140658276
0.2,B0,70,0.5486885249460373,0.6275670318100274,0.6752032094889238,0.5142857142857142,0.44443837908123623
0.2,BCR,70,0.5670987415047376,0.6313138910041699,0.6303689960832818,0.4714285714285714,0.4667718789147361
0.2,GLOBAL_ORACLE_MIX,70,0.5765575637828134,0.6367972152725812,0.6482420148560083,0.4857142857142857,0.4849838455195598
0.3,B0,73,0.5271926394640589,0.6444948993164002,0.7050485283361997,0.589041095890411,0.42011687188718627
0.3,BCR,73,0.5416073128147305,0.6462575563834955,0.6476123486577705,0.5205479452054794,0.45399253182243526
0.3,GLOBAL_ORACLE_MIX,73,0.5415617275153166,0.6487188303161054,0.6504032497183181,0.5068493150684932,0.45953806516812973
