method,folds,patient_macro_f1_mean,patient_macro_f1_std,patient_ez_f1_mean,patient_balanced_accuracy_mean
PaReSet_base,5,0.6421118318214111,0.025547721803052984,0.44886318226059674,0.680716097412062
PaReSet_bce_only,5,0.6593695610152592,0.0313021837363708,0.4725852056771612,0.6911814684670945
PaReSet_full,5,0.6527791904236897,0.029284411816361745,0.45590894735139187,0.6821514471734235
PaReSet_no_pool,5,0.6458684313461256,0.027669072109227942,0.4448685327539665,0.6727315466199354
PaReSet_no_reference,5,0.6555938669355449,0.033528567470605446,0.4648606019800231,0.6877827027249847
PaReSet_uniform_reference,5,0.652848809360469,0.029348937180651593,0.4557845604563083,0.6817582702817697
repaired_BCR,5,0.649802846188008,0.021729192585561646,0.46512809773205044,0.6984091781179649
repaired_CDEL_0p8_0p2,5,0.624599844732273,0.030048368889127004,0.4058550382714536,0.656970815345277
repaired_PRQ,5,0.6188625439084747,0.022650052520226293,0.4065519586722088,0.6570413160486209
tabular_lightgbm_patient_z,5,0.6303882719678505,0.03780110824695435,0.4132275161030397,0.6542800385232826
tabular_logistic_regression_patient_z,5,0.6307713451527315,0.03084357875751612,0.4269513711668512,0.665994088421397
