fold,method,patient_macro_f1,patient_ez_f1,patient_balanced_accuracy,selected_epoch
1,PaReSet_base,0.6672700735293321,0.5152232745750565,0.6847523669839517,29.0
1,PaReSet_full,0.6685344290616929,0.5131138184178152,0.6873056898898989,31.0
1,PaReSet_no_reference,0.667013467723614,0.5145051502024784,0.6855837848519225,30.0
1,PaReSet_uniform_reference,0.6685164007644536,0.5120523235028366,0.6850932571081592,31.0
1,PaReSet_no_pool,0.6708871323967257,0.5153498124640516,0.688762929242831,31.0
1,PaReSet_bce_only,0.67059313117454,0.5137542709127141,0.6884621423432924,29.0
1,repaired_PRQ,0.6562923139808512,0.5235403385061456,0.6983076768034185,13.0
1,repaired_BCR,0.6760005469429444,0.5245064448901549,0.6973801661076569,38.0
1,repaired_CDEL_0p8_0p2,0.6733515182682018,0.5251240769668845,0.6989659873199986,
1,tabular_logistic_regression_patient_z,0.6533828312561256,0.5023201202568609,0.6703683549917453,
1,tabular_lightgbm_patient_z,0.6684720513777614,0.503435166118105,0.6734968990783917,
2,PaReSet_base,0.6661339290540451,0.4657714707394089,0.7095462837669969,28.0
2,PaReSet_full,0.6754053204755821,0.476296773494916,0.7115200633791811,27.0
2,PaReSet_no_reference,0.683849211959233,0.4850671022243545,0.7121729548208768,42.0
2,PaReSet_uniform_reference,0.6754053204755821,0.476296773494916,0.7115200633791811,27.0
2,PaReSet_no_pool,0.6754053204755821,0.476296773494916,0.7115200633791811,27.0
2,PaReSet_bce_only,0.698786223204335,0.5098757844556163,0.7294713488139449,40.0
2,repaired_PRQ,0.601875383439955,0.3476055619192249,0.6470799054801246,17.0
2,repaired_BCR,0.6366928912514065,0.43602354495049106,0.692099592519036,10.0
2,repaired_CDEL_0p8_0p2,0.6034845846754368,0.3540755478999974,0.6500422131607646,
2,tabular_logistic_regression_patient_z,0.6549859522148211,0.4122892206008545,0.6707569513478108,
2,tabular_lightgbm_patient_z,0.6430498364914369,0.4081486714479042,0.6518678824472666,
3,PaReSet_base,0.6334929874086624,0.40263284278262046,0.6620189224485007,13.0
3,PaReSet_full,0.6377120080454848,0.3869451705227153,0.6380895102957944,14.0
3,PaReSet_no_reference,0.6361593837770037,0.41271194337838085,0.6671750846655555,12.0
3,PaReSet_uniform_reference,0.6377120080454848,0.3869451705227153,0.6380895102957944,14.0
3,PaReSet_no_pool,0.6367889396232914,0.3868856859612845,0.6391649732943343,14.0
3,PaReSet_bce_only,0.633232850872763,0.39892744741228775,0.654962792044344,12.0
3,repaired_PRQ,0.6002389948022551,0.33190538968826294,0.6116568319955751,29.0
3,repaired_BCR,0.6573988331466392,0.4406972134117536,0.6936867560226803,15.0
3,repaired_CDEL_0p8_0p2,0.5965255734498669,0.3222397995937879,0.6118338623569928,
3,tabular_logistic_regression_patient_z,0.6052938295964965,0.35371531375616627,0.6439806647611253,
3,tabular_lightgbm_patient_z,0.628674627763242,0.3950899584726329,0.6640697939401091,
4,PaReSet_base,0.6377031382658447,0.44159073181072106,0.6747891886478834,18.0
4,PaReSet_full,0.6740716205538443,0.48137058505655583,0.6994111235649343,45.0
4,PaReSet_no_reference,0.6841087895630076,0.4979378616937776,0.7040157916594811,45.0
4,PaReSet_uniform_reference,0.6744377435349794,0.4818101454961163,0.6996576718884057,45.0
4,PaReSet_no_pool,0.6380881902531841,0.4239920025846231,0.649778918446022,15.0
4,PaReSet_bce_only,0.6721809813154813,0.49167790132489053,0.6891797453350702,25.0
4,repaired_PRQ,0.6153018689669794,0.3955969074561731,0.6436092515498173,25.0
4,repaired_BCR,0.6589396011538023,0.48522738478928645,0.7080911516581205,16.0
4,repaired_CDEL_0p8_0p2,0.6241952978924131,0.40072316866519875,0.6490972602034977,
4,tabular_logistic_regression_patient_z,0.6503517602916407,0.4550130602532816,0.6884327973092172,
4,tabular_lightgbm_patient_z,0.6439513881007399,0.4157062905399551,0.6635671702967213,
5,PaReSet_base,0.6059590308491711,0.41909759139517655,0.6724737252129771,13.0
5,PaReSet_full,0.6081725739818447,0.4218183892649571,0.6744308487373085,13.0
5,PaReSet_no_reference,0.6068384816548661,0.4140809524011242,0.6699658976270872,13.0
5,PaReSet_uniform_reference,0.6081725739818447,0.4218183892649571,0.6744308487373085,13.0
5,PaReSet_no_pool,0.6081725739818447,0.4218183892649571,0.6744308487373085,13.0
5,PaReSet_bce_only,0.6220546185091766,0.4486906242802973,0.6938313137988209,18.0
5,repaired_PRQ,0.620604158352333,0.4341115957912375,0.6845529144141693,9.0
5,repaired_BCR,0.6199823584452475,0.43918590061856616,0.7007882242823311,13.0
5,repaired_CDEL_0p8_0p2,0.6254422493754466,0.4271125982313993,0.6749147536851312,
5,tabular_logistic_regression_patient_z,0.5898423524045733,0.41141914096709303,0.6564316736970862,
5,tabular_lightgbm_patient_z,0.5677934561060725,0.34375749393660127,0.6183984468539246,
