method,patients,seed,inference_seconds_median,inference_seconds_p95,ez_fraction_bias,ez_fraction_mae,macro_f1,ez_f1,nez_f1,balanced_accuracy,ez_auprc,ez_auroc,accuracy
full,80,42,0.11330039998574648,0.5307327999966216,-0.0256062527710485,0.14580330323774762,0.5934967796798055,0.3733210748584839,0.8136724845011273,0.632282748261036,0.5002773857563203,0.7109188908648093,0.7302241998198512
base,80,42,0.14020654998603277,0.42933020002237676,-0.001382993008035628,0.14411557508480805,0.5949386367125933,0.38495702740881527,0.8049202460163712,0.6351133013936456,0.49206358495469954,0.703517049789567,0.7210270821890733
prq,80,42,0.17785854999965522,0.36736143002053706,-0.010875581796574333,0.15242034090077197,0.5923485418140955,0.3778759832621702,0.806821100366021,0.6376165111974317,0.48444155025203484,0.7005526636680041,0.7226769700855395
bcr,80,42,0.1038031000061892,0.2860592599987284,0.022595815221151727,0.15542438220333948,0.6085384643262675,0.41189990703253904,0.805177021619996,0.6563410280458343,0.48374426155768935,0.71148144237706,0.7235893895814933
cdel,80,42,0.28707680001389235,0.7367112850377451,-0.03663197347053697,0.15325881508226394,0.6028532737784714,0.3834747077394841,0.8222318398174586,0.6491973518762991,0.5121338010321359,0.7226288460355683,0.7399664778107884
