primary,comparator,metric,mean_delta,ci95_low,ci95_high,positive_patients,negative_patients,zero_patients,valid_patients
full,base,macro_f1,-0.0014418570327877662,-0.012062382265692924,0.009014004408435628,31,29,20,80
full,base,ez_f1,-0.011635952550331301,-0.028644049985707572,0.005144190541488853,28,30,22,80
full,base,balanced_accuracy,-0.0028305531326096285,-0.013024003048501069,0.007475307073457542,30,30,20,80
full,base,ez_auprc,0.008213800801620761,-0.0013706193612559004,0.01880974330494848,45,31,4,80
full,bcr,macro_f1,-0.015041684646461984,-0.03613951197061284,0.006202992547129864,38,42,0,80
full,bcr,ez_f1,-0.03857883217405509,-0.07329314981976437,-0.0032772746121532853,34,43,3,80
full,bcr,balanced_accuracy,-0.024058279784798214,-0.04842759492054766,-0.0009605697482367478,31,49,0,80
full,bcr,ez_auprc,0.01653312419863089,-0.015830956993536503,0.0512931152530961,40,40,0,80
full,cdel,macro_f1,-0.009356494098665869,-0.03607757441214569,0.01761196336137072,38,42,0,80
full,cdel,ez_f1,-0.01015363288100021,-0.05519519970330691,0.0358306884793259,36,41,3,80
full,cdel,balanced_accuracy,-0.016914603615263025,-0.043972487377421,0.009307737231327353,38,41,1,80
full,cdel,ez_auprc,-0.011856415275815664,-0.04798982402009622,0.024979505912199454,38,41,1,80
