experiment,analysis_status,patient_macro_f1,patient_ez_f1,patient_nez_f1,patient_balanced_accuracy,patient_ez_auprc,patient_ez_auroc,patient_ez_mrr,top1_is_ez_rate,predicted_ez_count_mae,predicted_ez_fraction_mae,truek_patient_macro_f1,n_patients,n_channels,true_ez_fraction,predicted_ez_fraction,valid_ez_auprc_patients,valid_ez_auroc_patients,absolute_delta_vs_p2,relative_delta_vs_p2,ci_low,ci_high,probability_delta_gt_zero
B1_P2_Q10_ONLY,ABLATION_ONLY_NOT_FOR_MODEL_SELECTION,0.6284640770231468,0.4303441475289965,0.826584006517297,0.6652685203287666,0.5211757734041642,0.740946917213695,0.6886285891121532,0.5625,12.1875,0.12623748653219832,0.6487672375803516,80.0,7635.0,0.22829076620825148,0.22082514734774067,80.0,80.0,0.0,0.0,,,
B2_V3_QBC_ONLY,ABLATION_ONLY_NOT_FOR_MODEL_SELECTION,0.6225383624058317,0.42867992218908446,0.816396802622579,0.6710497027327393,0.5552540713183796,0.7328889767325487,0.775641728613139,0.6875,12.35,0.13066906492567468,0.6572080494563401,80.0,7635.0,0.22829076620825148,0.2361493123772102,80.0,80.0,-0.005925714617315059,-0.009428883581355137,,,
B3_P2_Q10_V3_LOCKED_FUSION,EXPLORATORY_LOCKED_FUSION,0.6432651653484063,0.45652550572091266,0.8300048249759001,0.6835376920076838,0.5340242781131186,0.7445908122028875,0.7464776809403334,0.6625,11.6625,0.12036392768818405,0.6503983337462481,80.0,7635.0,0.22829076620825148,0.23077930582842174,80.0,80.0,0.014801088325259504,0.023551208201697055,0.0069885219977265595,0.02285333022746724,1.0
