experiment,outer_fold,threshold,threshold_source,selected,v3_weight,p2_weight,locked_configuration
W_V3_0.00,1,0.45,outer_fold_validation_only,True,0.0,1.0,False
W_V3_0.00,2,0.35000000000000003,outer_fold_validation_only,True,0.0,1.0,False
W_V3_0.00,3,0.4,outer_fold_validation_only,True,0.0,1.0,False
W_V3_0.00,4,0.425,outer_fold_validation_only,True,0.0,1.0,False
W_V3_0.00,5,0.45,outer_fold_validation_only,True,0.0,1.0,False
W_V3_0.05,1,0.455,outer_fold_validation_only,True,0.05,0.95,False
W_V3_0.05,2,0.35000000000000003,outer_fold_validation_only,True,0.05,0.95,False
W_V3_0.05,3,0.395,outer_fold_validation_only,True,0.05,0.95,False
W_V3_0.05,4,0.43,outer_fold_validation_only,True,0.05,0.95,False
W_V3_0.05,5,0.45,outer_fold_validation_only,True,0.05,0.95,False
W_V3_0.10,1,0.45,outer_fold_validation_only,True,0.1,0.9,True
W_V3_0.10,2,0.365,outer_fold_validation_only,True,0.1,0.9,True
W_V3_0.10,3,0.425,outer_fold_validation_only,True,0.1,0.9,True
W_V3_0.10,4,0.43,outer_fold_validation_only,True,0.1,0.9,True
W_V3_0.10,5,0.445,outer_fold_validation_only,True,0.1,0.9,True
W_V3_0.20,1,0.485,outer_fold_validation_only,True,0.2,0.8,False
W_V3_0.20,2,0.37,outer_fold_validation_only,True,0.2,0.8,False
W_V3_0.20,3,0.41500000000000004,outer_fold_validation_only,True,0.2,0.8,False
W_V3_0.20,4,0.41500000000000004,outer_fold_validation_only,True,0.2,0.8,False
W_V3_0.20,5,0.445,outer_fold_validation_only,True,0.2,0.8,False
W_V3_0.50,1,0.46,outer_fold_validation_only,True,0.5,0.5,False
W_V3_0.50,2,0.34,outer_fold_validation_only,True,0.5,0.5,False
W_V3_0.50,3,0.36,outer_fold_validation_only,True,0.5,0.5,False
W_V3_0.50,4,0.4,outer_fold_validation_only,True,0.5,0.5,False
W_V3_0.50,5,0.47500000000000003,outer_fold_validation_only,True,0.5,0.5,False
W_V3_1.00,1,0.47000000000000003,outer_fold_validation_only,True,1.0,0.0,False
W_V3_1.00,2,0.325,outer_fold_validation_only,True,1.0,0.0,False
W_V3_1.00,3,0.34500000000000003,outer_fold_validation_only,True,1.0,0.0,False
W_V3_1.00,4,0.395,outer_fold_validation_only,True,1.0,0.0,False
W_V3_1.00,5,0.515,outer_fold_validation_only,True,1.0,0.0,False
