outer_fold,patient_macro_f1,patient_ez_f1,patient_nez_f1,patient_balanced_accuracy,patient_ez_auprc,patient_ez_auroc,patient_ez_mrr,top1_is_ez_rate,predicted_ez_count_mae,predicted_ez_fraction_mae,truek_patient_macro_f1,n_patients,n_channels,true_ez_fraction,predicted_ez_fraction,valid_ez_auprc_patients,valid_ez_auroc_patients,experiment,analysis_status
1,0.594415194492013,0.3977678276283735,0.7910625613556523,0.6729717276996598,0.48357338427391283,0.7248221560216318,0.6276785714285714,0.4375,17.0625,0.17720149648055378,0.6134732526779128,16,1631,0.2305334150827713,0.23973022685469036,16,16,W_V3_0.00,ABLATION_ONLY_NOT_FOR_MODEL_SELECTION
2,0.6500487571712379,0.4170765411465644,0.8830209731959113,0.6798461334522505,0.467839646953856,0.7577775351789944,0.7161077235772357,0.625,8.875,0.08183135764153478,0.6447564443744823,16,1498,0.157543391188251,0.1882510013351135,16,16,W_V3_0.00,ABLATION_ONLY_NOT_FOR_MODEL_SELECTION
3,0.6136282354625638,0.36775816641176545,0.859498304513362,0.639406913473745,0.491857366054089,0.7737187425093397,0.5704979360165119,0.35294117647058826,14.117647058823529,0.13446089185676585,0.6609575074698149,17,1746,0.2124856815578465,0.14948453608247422,17,17,W_V3_0.00,ABLATION_ONLY_NOT_FOR_MODEL_SELECTION
4,0.6156242857197968,0.4557557833454237,0.7754927880941699,0.6215824269936789,0.534001226904298,0.6883519796416364,0.6896938775510204,0.6,10.2,0.11557539453716663,0.6243492807338147,15,1425,0.28912280701754384,0.2617543859649123,15,15,W_V3_0.00,ABLATION_ONLY_NOT_FOR_MODEL_SELECTION
5,0.6687286654111995,0.518862270171209,0.81859506065119,0.7114213696194946,0.6312412341378033,0.754728750037641,0.8466145833333334,0.8125,10.4375,0.12093794856249568,0.6980116884747336,16,1335,0.2606741573033708,0.28389513108614234,16,16,W_V3_0.00,ABLATION_ONLY_NOT_FOR_MODEL_SELECTION
1,0.598195411524127,0.407902650975194,0.78848817207306,0.679679551996081,0.49080178298305205,0.7245181339967494,0.6538690476190476,0.5,16.875,0.17456412595555562,0.6172577409460377,16,1631,0.2305334150827713,0.25260576333537704,16,16,W_V3_0.05,ABLATION_ONLY_NOT_FOR_MODEL_SELECTION
2,0.6530319092423731,0.4197844723387952,0.886279346145951,0.6826942332021007,0.46534612689858773,0.7595351835611361,0.6845973069105691,0.5625,8.8125,0.07967396022477446,0.6377356093017039,16,1498,0.157543391188251,0.184913217623498,16,16,W_V3_0.05,ABLATION_ONLY_NOT_FOR_MODEL_SELECTION
3,0.613384170222992,0.3660635465957825,0.8607047938502012,0.6364658811350348,0.5077435884971453,0.7779604446450598,0.6789215686274509,0.5294117647058824,13.882352941176471,0.13247982061698024,0.6572953538940397,17,1746,0.2124856815578465,0.14604810996563575,17,17,W_V3_0.05,ABLATION_ONLY_NOT_FOR_MODEL_SELECTION
4,0.6201782742874953,0.46402103725735844,0.776335511317632,0.6266403090251329,0.5432602168724538,0.6920936162634129,0.7186904761904762,0.6666666666666666,10.066666666666666,0.11376034569056064,0.6298008553030363,15,1425,0.28912280701754384,0.2673684210526316,15,15,W_V3_0.05,ABLATION_ONLY_NOT_FOR_MODEL_SELECTION
5,0.6702450419228313,0.5181774671584454,0.8223126166872172,0.7129697319954176,0.6367369142326686,0.7571374160169727,0.84453125,0.8125,10.25,0.11901154394267671,0.700576278140387,16,1335,0.2606741573033708,0.27565543071161047,16,16,W_V3_0.05,ABLATION_ONLY_NOT_FOR_MODEL_SELECTION
