comparison,metric,estimate_a,estimate_b,delta,ci_low,ci_high,probability_delta_gt_zero,bootstrap_repeats,n_patients,seed
locked_fusion_vs_p2,patient_macro_f1,0.6432651653484063,0.6284640770231468,0.014801088325259578,0.0069885219977265595,0.02285333022746724,1.0,2000,80,42
locked_fusion_vs_v3,patient_macro_f1,0.6432651653484063,0.6225383624058317,0.020726802942574597,0.004032506597341088,0.03747254812936903,0.992,2000,80,42
true_fusion_vs_shuffled_v3_mean,patient_macro_f1,0.6432651653484063,0.6282586878908984,0.01500647745750786,0.008936029489608652,0.021781461277745384,1.0,2000,80,42
probability_vs_logit,patient_macro_f1,0.6432651653484063,0.6423511966278715,0.0009139687205348184,-0.0006003711418516376,0.002682587499433112,0.8695,2000,80,42
probability_vs_rank,patient_macro_f1,0.6432651653484063,0.6220430911162732,0.02122207423213311,0.010006461807736216,0.03387867418911047,1.0,2000,80,42
T1_vs_T0,patient_macro_f1,0.6349093311072593,0.6284640770231468,0.0064452540841125425,0.0022146347907227868,0.01084682183535125,0.9985,2000,80,42
T2_vs_T1,patient_macro_f1,0.6432651653484063,0.6349093311072593,0.008355834241147036,0.0023754949531075227,0.015374645808307552,0.9975,2000,80,42
T2_vs_T0,patient_macro_f1,0.6432651653484063,0.6284640770231468,0.014801088325259578,0.0069885219977265595,0.02285333022746724,1.0,2000,80,42
