config,score_name,score_variant,gamma,fusion_space,fold_idx,patient_macro_f1,patient_macro_ez_f1,patient_macro_auprc_ez,patient_macro_ez_mrr,top1_is_ez_rate,n_patients
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,score_broad,score_broad,,score,1,0.6274508861975217,0.4612074698358844,0.4986184230218675,0.6187746256895194,0.4444444444444444,18
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,score_broad,score_broad,,score,2,0.6181352596084747,0.37784389835833626,0.43288380674921684,0.5861111111111111,0.3888888888888889,18
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,score_broad,score_broad,,score,3,0.663516805621025,0.46660613877401363,0.5311309651123106,0.7494444444444445,0.6111111111111112,18
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,score_broad,score_broad,,score,4,0.6044182789071982,0.47206554489894903,0.5072180499646499,0.6962962962962963,0.6111111111111112,18
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,score_broad,score_broad,,score,5,0.7172074489410392,0.5845180719535147,0.6409691150718346,0.7777623969484435,0.7222222222222222,18
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.00,0.0,score,1,0.6274508861975217,0.4612074698358844,0.4986184230218675,0.6187746256895194,0.4444444444444444,18
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.00,0.0,score,2,0.6181352596084747,0.37784389835833626,0.43288380674921684,0.5861111111111111,0.3888888888888889,18
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.00,0.0,score,3,0.663516805621025,0.46660613877401363,0.5311309651123106,0.7494444444444445,0.6111111111111112,18
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.00,0.0,score,4,0.6044182789071982,0.47206554489894903,0.5072180499646499,0.6962962962962963,0.6111111111111112,18
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.00,0.0,score,5,0.7172074489410392,0.5845180719535147,0.6409691150718346,0.7777623969484435,0.7222222222222222,18
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.02,0.02,score,1,0.6274508861975217,0.4612074698358844,0.4984251799296662,0.6187746256895194,0.4444444444444444,18
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.02,0.02,score,2,0.6181352596084747,0.37784389835833626,0.4315299504468465,0.5861111111111111,0.3888888888888889,18
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.02,0.02,score,3,0.663516805621025,0.46660613877401363,0.5306436868737865,0.7494444444444445,0.6111111111111112,18
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.02,0.02,score,4,0.6000598379919618,0.46594631946250864,0.5082992051112037,0.6965608465608466,0.6111111111111112,18
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.02,0.02,score,5,0.7153059939145842,0.581872569308012,0.6408169645489316,0.7777623969484435,0.7222222222222222,18
