metric,a9v3,stage1c_a020_b000,delta,pass_rule,pass
patient_macro_f1,0.642714,0.6448592570248107,0.0021452570248107,>,TRUE
patient_macro_ez_f1,0.470591,0.4733598557077752,0.0027688557077752,>,TRUE
patient_macro_auprc_ez,0.518635,0.5240832880821947,0.0054482880821947,>,TRUE
patient_macro_ez_mrr,0.715136,0.7153981488509032,0.0002621488509032,>=,TRUE
top1_is_ez_rate,0.600000,0.6000000000000000,0.0000000000000000,>=,TRUE
