center,success_auprc,failure_auprc,auroc,macro_f1,weighted_f1,balanced_accuracy,accuracy,success_precision,success_recall,failure_precision,failure_recall,specificity_for_failure,brier,ece,true_failure_pred_failure,true_failure_pred_success,true_success_pred_failure,true_success_pred_success,tn,fp,fn,tp
hup,0.6111339689486985,0.3476890858764913,0.4166666666666667,0.4423897581792319,0.49359886201991465,0.4444444444444444,0.5,0.6052631578947368,0.6388888888888888,0.2777777777777778,0.25,0.25,0.29256157605165384,0.17085904928188522,5,15,13,23,5,15,13,23
lzu,0.507963959249087,0.7858058861961965,0.6699507389162561,0.6532027743778049,0.6454345165238677,0.7003284072249589,0.66,0.5555555555555556,0.9523809523809523,0.9285714285714286,0.4482758620689655,0.4482758620689655,0.25711839735293585,0.21559348461852126,13,16,1,20,13,16,1,20
multicenter,0.6915700235437078,0.25229596111949054,0.35555555555555557,0.38235294117647056,0.5462184873949579,0.43333333333333335,0.6190476190476191,0.6842105263157895,0.8666666666666667,0.0,0.0,0.0,0.2499448592298232,0.19386584455474154,0,6,2,13,0,6,2,13
pediatric,0.6232007575757575,0.49166666666666664,0.40625,0.5555555555555556,0.6296296296296297,0.5625,0.6666666666666666,0.7,0.875,0.5,0.25,0.25,0.24606017798635813,0.3222850051716357,1,3,1,7,1,3,1,7
