metric,mean,ci_low,ci_high,valid_repeats,skipped_single_class
accuracy,0.385464480874317,0.0,0.8,1830,170
balanced_accuracy,0.33816029143897997,0.0,0.5,1830,170
macro_f1,0.26203486859224556,0.0,0.4444444444444444,1830,170
weighted_f1,0.32417772573510284,0.0,0.711111111111111,1830,170
auroc,0.3288706739526412,0.0,1.0,1830,170
success_auprc,0.5059570431086825,0.2,1.0,1830,170
failure_auprc,0.6940399210686096,0.2,1.0,1830,170
success_precision,0.0,0.0,0.0,1830,170
success_recall,0.0,0.0,0.0,1830,170
failure_precision,0.4645355191256831,0.0,0.8,1830,170
failure_recall,0.6763205828779599,0.0,1.0,1830,170
brier,0.2810611311611378,0.16312091804767376,0.38774121469852113,1830,170
ece,0.4078891891534211,0.15090444087982177,0.6209383606910706,1830,170
