scope,success_auprc,failure_auprc,auroc,macro_f1,weighted_f1,balanced_accuracy,accuracy,success_precision,success_recall,failure_precision,failure_recall,specificity_for_failure,brier,ece,true_failure_pred_failure,true_failure_pred_success,true_success_pred_failure,true_success_pred_success,tn,fp,fn,tp
pooled_oof,0.569946953917321,0.4884308715633362,0.5192796610169491,0.5203588681849551,0.5318279537860395,0.5203389830508475,0.5323741007194245,0.5925925925925926,0.6,0.4482758620689655,0.4406779661016949,0.4406779661016949,0.2693592252244747,0.1685509002751396,26.0,33.0,32.0,48.0,26.0,33.0,32.0,48.0
fold_mean,0.6182483610919663,0.5597509845951483,0.5392557932263815,0.5025468708763903,0.510020129157102,0.5270409982174689,0.5333333333333333,0.5796924128503076,0.6086274509803922,0.4790764790764791,0.4454545454545455,0.4454545454545455,0.2689842983821028,0.21549425156221833,5.2,6.6,6.4,9.6,5.2,6.6,6.4,9.6
fold_std,0.05733692610497405,0.095911226978338,0.08440831083472909,0.10741193921213858,0.1172261526667712,0.08278022016816779,0.10627959105078877,0.06169840471979045,0.27618658058854595,0.15675672104989508,0.20110747096026307,0.20110747096026307,0.04305272286009107,0.09261307971328547,2.16794833886788,2.5099800796022267,4.774934554525329,4.159326868617084,2.16794833886788,2.5099800796022267,4.774934554525329,4.159326868617084
