method,patient_macro_accuracy,patient_macro_balanced_accuracy,patient_macro_f1,patient_weighted_f1,patient_macro_nez_precision,patient_macro_nez_recall,patient_macro_nez_f1,patient_macro_ez_precision,patient_macro_ez_recall,patient_macro_ez_f1,patient_macro_auroc_nez,patient_macro_auprc_nez,patient_macro_auroc_ez,patient_macro_auprc_ez,patient_macro_ez_recall_at_true_count,patient_macro_ez_mrr,top1_is_ez_rate,macro_topk_recall,ez_recall_at_true_count,n_patient_rows
average_ictal_evidence_score,0.7544077544765793,0.6147305441767636,0.6147305441767636,0.7544077544765793,0.8133515351684949,0.8133515351684949,0.8133515351684949,0.41610955318503257,0.41610955318503257,0.41610955318503257,0.6801628514397877,0.8467248777644307,0.6801628514397877,0.45777977277433374,0.41610955318503257,0.5759926325802762,0.4,0.41610955318503257,0.41610955318503257,90.0
extra_trees,0.7486980126673771,0.6218230901982483,0.6218230901982483,0.7486980126673771,0.8050401551790217,0.8050401551790217,0.8050401551790217,0.4386060252174749,0.4386060252174749,0.4386060252174749,0.7007410333818326,0.8431179975108033,0.7007410333818326,0.49151627678121707,0.4386060252174749,0.6621546352601361,0.5222222222222223,0.4386060252174749,0.4386060252174749,90.0
hist_gradient_boosting,0.7455720936854447,0.6190405123098742,0.6190405123098742,0.7455720936854447,0.8016517640189968,0.8016517640189968,0.8016517640189968,0.4364292606007516,0.4364292606007516,0.4364292606007516,0.694116052090994,0.8418299047376785,0.694116052090994,0.48860262940313753,0.4364292606007516,0.6790314898231626,0.5444444444444444,0.4364292606007516,0.4364292606007516,90.0
linear_svm,0.7340918603359751,0.5900945023904147,0.5900945023904147,0.7340918603359751,0.7944727254152705,0.7944727254152705,0.7944727254152705,0.3857162793655589,0.3857162793655589,0.3857162793655589,0.6739276452784134,0.8324563604731531,0.6739276452784134,0.43747176083454586,0.3857162793655589,0.6464943302311723,0.5,0.3857162793655589,0.3857162793655589,90.0
logistic_elasticnet,0.7416374434433136,0.6188050528628833,0.6188050528628833,0.7416374434433136,0.7981796726375899,0.7981796726375899,0.7981796726375899,0.43943043308817664,0.43943043308817664,0.43943043308817664,0.6959560029927161,0.837186542198538,0.6959560029927161,0.5054460355607492,0.43943043308817664,0.7235951940216646,0.6333333333333333,0.43943043308817664,0.43943043308817664,90.0
logistic_l2,0.732578327003785,0.5883874226325547,0.5883874226325547,0.732578327003785,0.7929578768307277,0.7929578768307277,0.7929578768307277,0.3838169684343817,0.3838169684343817,0.3838169684343817,0.6803550590631041,0.8338704757580652,0.6803550590631041,0.4443875048607433,0.3838169684343817,0.66404018089467,0.5444444444444444,0.3838169684343817,0.3838169684343817,90.0
random_forest,0.7536502085354138,0.6313905083052752,0.6313905083052752,0.7536502085354138,0.8073353938400037,0.8073353938400037,0.8073353938400037,0.4554456227705467,0.4554456227705467,0.4554456227705467,0.7047947188760543,0.8457696441774344,0.7047947188760543,0.5140935987812258,0.4554456227705467,0.7010672866228421,0.5888888888888889,0.4554456227705467,0.4554456227705467,90.0
rbf_svm,0.7475346051913379,0.6228741333854476,0.6228741333854476,0.7475346051913379,0.8036484826258381,0.8036484826258381,0.8036484826258381,0.4420997841450572,0.4420997841450572,0.4420997841450572,0.6905950050457699,0.8378106944685508,0.6905950050457699,0.4825846824597009,0.4420997841450572,0.6724861020385318,0.5222222222222223,0.4420997841450572,0.4420997841450572,90.0
single_hfo_duration_fraction,0.7392398358262233,0.5911945975826705,0.5911945975826705,0.7392398358262233,0.800681590794824,0.800681590794824,0.800681590794824,0.3817076043705169,0.3817076043705169,0.3817076043705169,0.6556389393164717,0.8256672947084764,0.6556389393164717,0.4412092439257205,0.3817076043705169,0.5787512353901243,0.43333333333333335,0.3817076043705169,0.3817076043705169,90.0
single_hfo_event_rate,0.7455302148191085,0.6021620945454748,0.6021620945454748,0.7455302148191085,0.8061376767909952,0.8061376767909952,0.8061376767909952,0.39818651229995433,0.39818651229995433,0.39818651229995433,0.6532437898771752,0.8284174977175851,0.6532437898771752,0.43800569129969147,0.39818651229995433,0.5695975272826186,0.4111111111111111,0.39818651229995433,0.39818651229995433,90.0
single_high_gamma,0.7512603673580026,0.5980484570919556,0.5980484570919556,0.7512603673580026,0.8119841113301887,0.8119841113301887,0.8119841113301887,0.38411280285372273,0.38411280285372273,0.38411280285372273,0.6629464218816908,0.8531073881733662,0.6629464218816907,0.42531742358587316,0.38411280285372273,0.504769363402702,0.3333333333333333,0.38411280285372273,0.38411280285372273,90.0
single_line_length,0.7605485463099393,0.6186600797626005,0.6186600797626005,0.7605485463099393,0.8183338712558341,0.8183338712558341,0.8183338712558341,0.41898628826936696,0.41898628826936696,0.41898628826936696,0.6837166490736892,0.8567789671474771,0.6837166490736893,0.4765004577808581,0.41898628826936696,0.6096981169349591,0.4666666666666667,0.41898628826936696,0.41898628826936696,90.0
single_onset_latency_high_gamma,0.7068521103845229,0.5592726372035083,0.5592726372035083,0.7068521103845229,0.7717573536555723,0.7717573536555723,0.7717573536555723,0.3467879207514444,0.3467879207514444,0.3467879207514444,0.5958666172479462,0.797672635680691,0.5958666172479462,0.37770896625630546,0.3467879207514444,0.4972445044667267,0.4222222222222222,0.3467879207514444,0.3467879207514444,90.0
single_onset_latency_line_length,0.7153501166091998,0.569928162620797,0.569928162620797,0.7153501166091998,0.7778654017023663,0.7778654017023663,0.7778654017023663,0.3619909235392278,0.3619909235392278,0.3619909235392278,0.6421349717392043,0.8109025897001012,0.6421349717392043,0.4173744110904062,0.3619909235392278,0.5921111450278117,0.5555555555555556,0.3619909235392278,0.3619909235392278,90.0
xgboost_optional,0.7514210717157955,0.6224431893288102,0.6224431893288102,0.7514210717157955,0.8074024053132669,0.8074024053132669,0.8074024053132669,0.43748397334435335,0.43748397334435335,0.43748397334435335,0.695106287466512,0.8415569382423805,0.695106287466512,0.4953498251797002,0.43748397334435335,0.6750491176554395,0.5777777777777777,0.43748397334435335,0.43748397334435335,90.0
