metric,estimate,ci_lower,ci_upper,repeats
accuracy,0.5,0.0,1.0,2000
balanced_accuracy,0.5,0.0,1.0,2000
macro_f1,0.3333333333333333,0.0,1.0,2000
auroc,0.0,0.0,0.0,2000
success_auprc,0.5,0.5,1.0,2000
failure_auprc,0.5,0.5,1.0,2000
success_precision,0.0,0.0,0.0,2000
success_recall,0.0,0.0,0.0,2000
failure_precision,0.5,0.0,1.0,2000
failure_recall,1.0,0.0,1.0,2000
brier,0.25772580802477885,0.1966124362106223,0.3188391798389354,2000
ece,0.06062422692775726,0.06062422692775726,0.5646584630012512,2000
