metric,mean,ci_low,ci_high,valid_repeats,skipped_single_class
accuracy,0.5900899280575541,0.5107913669064749,0.6690647482014388,2000,0
balanced_accuracy,0.5542415982813355,0.4802217413176976,0.6303797468354431,2000,0
macro_f1,0.5419285259297633,0.4562251998436933,0.6263793134605178,2000,0
weighted_f1,0.5660789132879923,0.4776078711504018,0.652640307739471,2000,0
auroc,0.5192936231523334,0.41975328645632254,0.6163889267037701,2000,0
success_auprc,0.5825041674813684,0.47422416209551477,0.690792600033984,2000,0
failure_auprc,0.49516126124334664,0.37514552276054125,0.6208780104000975,2000,0
success_precision,0.612423687209825,0.5154639175257731,0.7019230769230769,2000,0
success_recall,0.7875799699311854,0.6933076923076923,0.8765432098765432,2000,0
failure_precision,0.5258924985248418,0.35892857142857143,0.7045788770053475,2000,0
failure_recall,0.32090322663148535,0.20453385899814472,0.44647475369458106,2000,0
brier,0.269139515477339,0.23823533777418898,0.30202146819776726,2000,0
ece,0.1852228723786362,0.11572552789790802,0.2589800673145382,2000,0
