config,score_name,score_variant,gamma,fusion_space,patient_macro_f1,patient_macro_ez_f1,patient_macro_auprc_ez,patient_macro_ez_mrr,top1_is_ez_rate,n_patients
A9v8_LCBO_stage1b_gamma005_mrr_all90_posEZ,score_broad,score_broad,,score,0.6438625229115281,0.47220796943368587,0.5259839178418525,0.6946049997618385,0.5666666666666667,90
A9v8_LCBO_stage1b_gamma005_mrr_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.00,0.0,score,0.6438625229115281,0.47220796943368587,0.5259839178418525,0.6946049997618385,0.5666666666666667,90
A9v8_LCBO_stage1b_gamma005_mrr_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.02,0.02,score,0.6438625229115281,0.47220796943368587,0.5255103705882702,0.6946049997618385,0.5666666666666667,90
A9v8_LCBO_stage1b_gamma005_mrr_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.05,0.05,score,0.6455178561750416,0.47474308795870784,0.5259428543652056,0.6936790738359125,0.5666666666666667,90
A9v8_LCBO_stage1b_gamma005_mrr_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.10,0.1,score,0.6461314755280677,0.47562585632028975,0.5258302699709726,0.6871992652106659,0.5555555555555556,90
A9v8_LCBO_stage1b_gamma005_mrr_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.15,0.15,score,0.6453759810225732,0.47423696743140087,0.5265942819500845,0.6916437096551102,0.5666666666666667,90
A9v8_LCBO_stage1b_gamma005_mrr_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g-0.05,-0.05,score,0.6451213765773312,0.4743227359446388,0.52512068924072,0.6899753701322089,0.5555555555555556,90
A9v8_LCBO_stage1b_gamma005_mrr_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g-0.10,-0.1,score,0.6442206711318816,0.47251872900721636,0.5223439705517984,0.6916420367988756,0.5555555555555556,90
A9v8_LCBO_stage1b_gamma005_mrr_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g-0.20,-0.2,score,0.644113834355056,0.47250541505539784,0.5223758960146451,0.7022240473808861,0.5777777777777777,90
A9v8_LCBO_stage1b_gamma005_mrr_all90_posEZ,score_core,score_core,,score,0.64565087097934,0.47421055668413864,0.5226266467811099,0.6955783654259866,0.5888888888888889,90
A9v8_LCBO_stage1b_gamma005_mrr_all90_posEZ,score_eval,score_eval,,score,0.6448471534210055,0.47350852005747324,0.5258140557923154,0.6936790738359125,0.5666666666666667,90
