outer_fold,C,l1_ratio,inner_auroc,inner_balanced_accuracy,inner_macro_f1,inner_brier,selected,candidate_groups
1,0.01,0.1,0.4876994680851064,0.5,0.3657142857142857,0.2452452317420635,False,final:feature
1,0.01,0.5,0.5123005319148937,0.5,0.3657142857142857,0.24805942119396465,False,final:feature
1,0.01,0.9,0.5123005319148937,0.5061502659574468,0.5020703933747412,0.248708260622149,False,final:feature
1,0.03,0.1,0.5365691489361702,0.5084773936170213,0.41755051914703584,0.24755866996747977,False,final:feature
1,0.03,0.5,0.5,0.5,0.3657142857142857,0.24572169977162323,False,final:feature
1,0.03,0.9,0.5,0.5,0.3657142857142857,0.24559720469841942,False,final:feature
1,0.1,0.1,0.5056515957446809,0.5182845744680851,0.49995403144249334,0.2658502305590875,False,final:feature
1,0.1,0.5,0.5053191489361702,0.49351728723404253,0.4405241935483871,0.2586656326502812,False,final:feature
1,0.1,0.9,0.48769946808510645,0.5028257978723404,0.3845700129762888,0.24681077236514817,False,final:feature
1,0.3,0.1,0.5415558510638298,0.5246010638297872,0.5212215320910973,0.26437047697760924,False,final:feature
1,0.3,0.5,0.5435505319148936,0.5345744680851063,0.5256410256410257,0.2577413616921567,False,final:feature
1,0.3,0.9,0.5535239361702128,0.5345744680851063,0.5256410256410257,0.25186416229444464,False,final:feature
1,1.0,0.1,0.5561835106382979,0.5302526595744681,0.5293419267299865,0.27838097746547025,False,final:feature
1,1.0,0.5,0.5611702127659575,0.5324135638297872,0.5285602843026783,0.26893076918244263,False,final:feature
1,1.0,0.9,0.5641622340425532,0.5402260638297872,0.5358885017421603,0.2614114745941727,False,final:feature
1,3.0,0.1,0.5608377659574468,0.5408909574468085,0.540508574807806,0.28833336246494556,False,final:feature
1,3.0,0.5,0.5628324468085106,0.5380651595744681,0.5369093231162196,0.2837566199048732,False,final:feature
1,3.0,0.9,0.5681515957446808,0.5458776595744681,0.5444596443228454,0.2785394559693848,True,final:feature
2,0.01,0.1,0.4521276595744681,0.5106382978723404,0.3886494252873563,0.24342373060409475,False,final:feature
2,0.01,0.5,0.4630984042553191,0.46924867021276595,0.46376811594202894,0.24953098134017995,False,final:feature
2,0.01,0.9,0.4630984042553191,0.46924867021276595,0.46376811594202894,0.24949952555027044,False,final:feature
2,0.03,0.1,0.4813829787234043,0.5304188829787234,0.48528225806451614,0.2502071030416288,False,final:feature
2,0.03,0.5,0.48769946808510645,0.5,0.3657142857142857,0.24801480060278425,False,final:feature
2,0.03,0.9,0.48769946808510645,0.5,0.3657142857142857,0.2479528301149587,False,final:feature
