variant,status,patient_macro_f1,patient_macro_ez_f1,action_coverage
A12-V2,success,0.6666666666666667,0.5,0.0
A12-V3,success,0.6666666666666667,0.5,0.0
A12-V4,success,0.6666666666666667,0.5,0.0
A12-V6,success,0.6666666666666667,0.5,0.0
A12-V7,success,0.6666666666666667,0.5,0.0
A12-V8,failed,,,0.0
A12-V9,failed,,,0.0
A12-V10,failed,,,0.0
