perturbation,status,macro_f1,accuracy,brier,ece,sensitivity,specificity,ppv,npv,balanced_accuracy,auroc,auprc,undefined_reasons
channel_dropout_10,evaluated,0.25,0.3333333333333333,0.29638667109300115,0.2718982791164631,1.0,0.0,0.3333333333333333,,0.5,0.5,0.5,"{""npv"": ""zero_denominator""}"
channel_dropout_20,evaluated,0.25,0.3333333333333333,0.29654860593722343,0.2721345880989812,1.0,0.0,0.3333333333333333,,0.5,0.5,0.5,"{""npv"": ""zero_denominator""}"
channel_dropout_30,evaluated,0.25,0.3333333333333333,0.29643652272837656,0.2719108629782648,1.0,0.0,0.3333333333333333,,0.5,0.5,0.5,"{""npv"": ""zero_denominator""}"
channel_permutation,evaluated,0.25,0.3333333333333333,0.2965240954570051,0.27210289918677705,1.0,0.0,0.3333333333333333,,0.5,0.5,0.5,"{""npv"": ""zero_denominator""}"
original,evaluated,0.25,0.3333333333333333,0.2965240974957771,0.27210290087284333,1.0,0.0,0.3333333333333333,,0.5,0.5,0.5,"{""npv"": ""zero_denominator""}"
seizure_dropout,evaluated,0.25,0.3333333333333333,0.2969938595620547,0.2734127206172739,1.0,0.0,0.3333333333333333,,0.5,0.5,0.5,"{""npv"": ""zero_denominator""}"
shuffled_signal,evaluated,0.25,0.3333333333333333,0.2963964857658202,0.2721320546232195,1.0,0.0,0.3333333333333333,,0.5,0.5,0.5,"{""npv"": ""zero_denominator""}"
window_order_shuffle,evaluated,0.25,0.3333333333333333,0.2965240947700593,0.2721028974973187,1.0,0.0,0.3333333333333333,,0.5,0.5,0.5,"{""npv"": ""zero_denominator""}"
