variant,seed,center,macro_f1,accuracy,brier,ece,sensitivity,specificity,ppv,npv,balanced_accuracy,auroc,auprc,macro_f1_at_0_5,patient_count,confusion_matrix,undefined_reasons
H1_SUMMARY_ML,42,hup,0.25,0.3333333333333333,0.3885373293889585,0.3799846097622369,1.0,0.0,0.3333333333333333,,0.5,0.5,0.5,0.25,3,"[[0, 2], [0, 1]]","{""npv"": ""zero_denominator""}"
H2_HIER_POOL,42,hup,0.25,0.3333333333333333,0.31565508957364713,0.31145661070801606,1.0,0.0,0.3333333333333333,,0.5,1.0,1.0,0.25,3,"[[0, 2], [0, 1]]","{""npv"": ""zero_denominator""}"
H3_ATTENTION_MIL,42,hup,0.4,0.6666666666666666,0.2737350666885207,0.22818615460031139,0.0,1.0,,0.6666666666666666,0.5,0.5,0.5,0.25,3,"[[2, 0], [1, 0]]","{""ppv"": ""zero_denominator""}"
H4_MULTI_CORE,42,hup,0.25,0.3333333333333333,0.2965240974957771,0.27210290087284333,1.0,0.0,0.3333333333333333,,0.5,0.5,0.5,0.25,3,"[[0, 2], [0, 1]]","{""npv"": ""zero_denominator""}"
H5_ANCHORED_CORE,42,hup,0.25,0.3333333333333333,0.3197176034754318,0.30776849588339766,1.0,0.0,0.3333333333333333,,0.5,0.5,0.5,0.25,3,"[[0, 2], [0, 1]]","{""npv"": ""zero_denominator""}"
H6_ANCHORED_UOT_DESC,42,hup,0.25,0.3333333333333333,0.3328537578887224,0.3258909684614773,1.0,0.0,0.3333333333333333,,0.5,0.0,0.3333333333333333,0.25,3,"[[0, 2], [0, 1]]","{""npv"": ""zero_denominator""}"
