center,n_channels,n_ez,ez_fraction,patient_ez_f1,patient_macro_f1,patient_auroc_ez,patient_auprc_ez,ez_mrr,recall_at_true_count,recall_lift,auprc_lift,is_high_ez_fraction
hup,101.86111111111111,17.11111111111111,0.18208722230341245,0.5054840947400548,0.6963657175381969,0.8081765874867878,0.5615480825328875,0.7891203703703703,0.5054840947400548,0.3233968724366424,0.379460860229475,0.05555555555555555
lzu,104.71428571428571,38.17857142857143,0.3750981017998692,0.4619569364104839,0.5715532544005716,0.6016041559512654,0.49339195932912655,0.6863945578231292,0.4619569364104839,0.08685883461061474,0.11829385752925736,0.4642857142857143
multicenter,61.666666666666664,10.933333333333334,0.17469582418906832,0.5056787656787657,0.7010667160046015,0.759100083867454,0.5410698730857486,0.6897385620915032,0.5056787656787657,0.33098294148969737,0.3663740488966803,0.13333333333333333
pediatric,117.0,24.363636363636363,0.221505481928253,0.3305284879909411,0.5686876665752443,0.5831911546083173,0.4101586306408145,0.538375659428291,0.3305284879909411,0.10902300606268808,0.1886531487125615,0.09090909090909091
