method,method_group,n_folds,n_patients,patient_macro_f1,patient_macro_ez_f1,patient_macro_auprc_ez,patient_macro_ez_mrr,top1_is_ez_rate,delta_f1_vs_a9v3,delta_ez_f1_vs_a9v3,delta_auprc_vs_a9v3,delta_mrr_vs_a9v3,delta_top1_vs_a9v3,passes_a9v3_gate
average_ictal_evidence_score,single_marker,5,90,0.6147305441767636,0.41610955318503257,0.45777977277433374,0.5759926325802762,0.4,-0.02798345582323636,-0.054481446814967416,-0.06085522722566622,-0.13914336741972377,-0.19999999999999996,False
extra_trees,classical_ml,5,90,0.6218230901982483,0.4386060252174749,0.49151627678121707,0.6621546352601361,0.5222222222222223,-0.020890909801751678,-0.0319849747825251,-0.027118723218782892,-0.05298136473986392,-0.07777777777777772,False
hist_gradient_boosting,classical_ml,5,90,0.6190405123098742,0.4364292606007516,0.48860262940313753,0.6790314898231626,0.5444444444444444,-0.023673487690125783,-0.03416173939924838,-0.030032370596862423,-0.03610451017683736,-0.05555555555555558,False
linear_svm,classical_ml,5,90,0.5900945023904147,0.3857162793655589,0.43747176083454586,0.6464943302311723,0.5,-0.052619497609585286,-0.08487472063444107,-0.08116323916545409,-0.06864166976882768,-0.09999999999999998,False
logistic_elasticnet,classical_ml,5,90,0.6188050528628833,0.43943043308817664,0.5054460355607492,0.7235951940216646,0.6333333333333333,-0.023908947137116665,-0.03116056691182334,-0.013188964439250772,0.008459194021664618,0.033333333333333326,False
logistic_l2,classical_ml,5,90,0.5883874226325547,0.3838169684343817,0.4443875048607433,0.66404018089467,0.5444444444444444,-0.05432657736744528,-0.0867740315656183,-0.07424749513925666,-0.05109581910533001,-0.05555555555555558,False
random_forest,classical_ml,5,90,0.6313905083052752,0.4554456227705467,0.5140935987812258,0.7010672866228421,0.5888888888888889,-0.011323491694724797,-0.015145377229453305,-0.00454140121877411,-0.014068713377157871,-0.011111111111111072,False
rbf_svm,classical_ml,5,90,0.6228741333854476,0.4420997841450572,0.4825846824597009,0.6724861020385318,0.5222222222222223,-0.019839866614552393,-0.028491215854942797,-0.03605031754029908,-0.04264989796146823,-0.07777777777777772,False
single_hfo_duration_fraction,single_marker,5,90,0.5911945975826705,0.3817076043705169,0.4412092439257205,0.5787512353901243,0.43333333333333335,-0.05151940241732955,-0.08888339562948311,-0.07742575607427948,-0.1363847646098757,-0.16666666666666663,False
single_hfo_event_rate,single_marker,5,90,0.6021620945454748,0.39818651229995433,0.43800569129969147,0.5695975272826186,0.4111111111111111,-0.04055190545452525,-0.07240448770004565,-0.08062930870030849,-0.1455384727173814,-0.18888888888888888,False
single_high_gamma,single_marker,5,90,0.5980484570919556,0.38411280285372273,0.42531742358587316,0.504769363402702,0.3333333333333333,-0.044665542908044364,-0.08647819714627725,-0.0933175764141268,-0.21036663659729804,-0.26666666666666666,False
single_line_length,single_marker,5,90,0.6186600797626005,0.41898628826936696,0.4765004577808581,0.6096981169349591,0.4666666666666667,-0.024053920237399495,-0.051604711730633024,-0.04213454221914187,-0.10543788306504087,-0.1333333333333333,False
single_onset_latency_high_gamma,single_marker,5,90,0.5592726372035083,0.3467879207514444,0.37770896625630546,0.4972445044667267,0.4222222222222222,-0.08344136279649172,-0.1238030792485556,-0.1409260337436945,-0.2178914955332733,-0.17777777777777776,False
single_onset_latency_line_length,single_marker,5,90,0.569928162620797,0.3619909235392278,0.4173744110904062,0.5921111450278117,0.5555555555555556,-0.07278583737920297,-0.10860007646077219,-0.10126058890959377,-0.12302485497218829,-0.0444444444444444,False
xgboost_optional,classical_ml,5,90,0.6224431893288102,0.43748397334435335,0.4953498251797002,0.6750491176554395,0.5777777777777777,-0.020270810671189854,-0.03310702665564663,-0.023285174820299737,-0.04008688234456048,-0.022222222222222254,False
