scope,threshold_role,failure_auprc,auroc,macro_f1,weighted_f1,balanced_accuracy,accuracy,failure_precision,failure_recall,specificity,brier,ece,tn,fp,fn,tp
pooled_oof,threshold_05,1.0,1.0,0.4,0.5333333333333333,0.5,0.6666666666666666,0.0,0.0,1.0,0.2307181480053521,0.1219842632611593,2.0,0.0,1.0,0.0
pooled_oof,inner_selected_threshold,1.0,1.0,0.4,0.5333333333333333,0.5,0.6666666666666666,0.0,0.0,1.0,0.2307181480053521,0.1219842632611593,2.0,0.0,1.0,0.0
fold_mean,inner_selected_threshold,1.0,1.0,0.4,0.5333333333333333,0.5,0.6666666666666666,0.0,0.0,1.0,0.2307181480053521,0.1219842632611593,,,,
fold_std,inner_selected_threshold,,,,,,,,,,,,,,,
fold_mean,threshold_05,1.0,1.0,0.4,0.5333333333333333,0.5,0.6666666666666666,0.0,0.0,1.0,0.2307181480053521,0.1219842632611593,,,,
fold_std,threshold_05,,,,,,,,,,,,,,,
