metric,mean,ci_low,ci_high,valid_repeats,skipped_single_class
accuracy,0.532341726618705,0.4460431654676259,0.6187050359712231,2000,0
balanced_accuracy,0.5110550447461317,0.42687177491876666,0.5962788741155306,2000,0
macro_f1,0.5073976251024863,0.42161018045119186,0.5944771162598658,2000,0
weighted_f1,0.525630800758823,0.43835772767859593,0.6115122444328757,2000,0
auroc,0.5270777032249959,0.42916228732259243,0.6281415719696969,2000,0
success_auprc,0.6111422978242809,0.4997335900980031,0.715516427116616,2000,0
failure_auprc,0.48436675176601257,0.3608361389059794,0.6154217322616363,2000,0
success_precision,0.5851602503556617,0.47776515151515153,0.6853932584269663,2000,0
success_recall,0.6494150934801641,0.5421438695960311,0.75,2000,0
failure_precision,0.43829851706280054,0.29265752032520326,0.5813953488372093,2000,0
failure_recall,0.37269499601209916,0.24284632034632034,0.5,2000,0
brier,0.2916440139976506,0.2486849436398128,0.33517127357265447,2000,0
ece,0.20726326568613784,0.13700092651094734,0.2819936931850103,2000,0
