model,seed,center,macro_f1,accuracy,brier,ece,sensitivity,specificity,ppv,npv,balanced_accuracy,auroc,auprc,n_patients,undefined_reasons
majority,42,hup,0.391304347826087,0.6428571428571429,0.23108320797246498,0.03873336175956188,1.0,0.0,0.6428571428571429,,0.5,0.49444444444444446,0.639421997755331,56,{'npv': 'zero_denominator'}
majority,42,lzu,0.32941176470588235,0.49122807017543857,0.2627831905253651,0.11291327660707884,1.0,0.0,0.49122807017543857,,0.5,0.48645320197044334,0.48556484378648485,57,{'npv': 'zero_denominator'}
majority,42,multicenter,0.4166666666666667,0.7142857142857143,0.2162839568236641,0.11013159245960713,1.0,0.0,0.7142857142857143,,0.5,0.4666666666666667,0.6994182288299935,21,{'npv': 'zero_denominator'}
majority,42,pediatric,0.4230769230769231,0.7333333333333333,0.2121235992872607,0.12922775667286812,1.0,0.0,0.7333333333333333,,0.5,0.5681818181818181,0.7646464646464646,15,{'npv': 'zero_denominator'}
