experiment,analysis_status,patient_macro_f1,patient_ez_f1,patient_nez_f1,patient_balanced_accuracy,patient_ez_auprc,patient_ez_auroc,patient_ez_mrr,top1_is_ez_rate,predicted_ez_count_mae,predicted_ez_fraction_mae,truek_patient_macro_f1,n_patients,n_channels,true_ez_fraction,predicted_ez_fraction,valid_ez_auprc_patients,valid_ez_auroc_patients
P2-Q10,DIAGNOSTIC_ONLY_NOT_DEPLOYABLE,0.6518934517608085,0.4336974516105454,0.8700894519110717,0.6518934517608085,0.48867329290100553,0.7763835689130674,0.660238603988604,0.5277777777777778,0.0,0.0,0.6518934517608085,36.0,3667.0,0.1679847286610308,0.1679847286610308,36.0,36.0
V3-QBC,DIAGNOSTIC_ONLY_NOT_DEPLOYABLE,0.6904010579392345,0.4949576913327714,0.8858444245456978,0.6904010579392345,0.554120642379811,0.7873540775715009,0.8294151835818503,0.7777777777777778,0.0,0.0,0.6904010579392345,36.0,3667.0,0.1679847286610308,0.1679847286610308,36.0,36.0
P2-Q10-CF,DIAGNOSTIC_ONLY_NOT_DEPLOYABLE,0.6701890176848448,0.4648352899028644,0.875542745466825,0.6701890176848448,0.5014576452852999,0.7808110469309429,0.6755494505494506,0.5555555555555556,0.0,0.0,0.6701890176848448,36.0,3667.0,0.1679847286610308,0.1679847286610308,36.0,36.0
