center,success_auprc,failure_auprc,auroc,macro_f1,weighted_f1,balanced_accuracy,accuracy,success_precision,success_recall,failure_precision,failure_recall,specificity_for_failure,brier,ece,true_failure_pred_failure,true_failure_pred_success,true_success_pred_failure,true_success_pred_success,tn,fp,fn,tp
hup,0.6605933672983427,0.37163583986496124,0.46111111111111114,0.4805194805194805,0.5361781076066789,0.4861111111111111,0.5535714285714286,0.6341463414634146,0.7222222222222222,0.3333333333333333,0.25,0.25,0.30423507446811293,0.2550160481875129,5,15,10,26,5,15,10,26
lzu,0.518825351663895,0.7533033607696531,0.6436781609195402,0.5784825371336813,0.582529104777198,0.5853858784893268,0.58,0.5,0.6190476190476191,0.6666666666666666,0.5517241379310345,0.5517241379310345,0.25343289327459995,0.14545850017627351,16,13,8,13,16,13,8,13
multicenter,0.664724020962411,0.2520683020683021,0.3555555555555555,0.38726790450928383,0.4873057976506252,0.3833333333333333,0.47619047619047616,0.6428571428571429,0.6,0.14285714285714285,0.16666666666666666,0.16666666666666666,0.334614181898084,0.35371069803443983,1,5,6,9,1,5,6,9
pediatric,0.692739898989899,0.31799242424242424,0.375,0.25,0.3333333333333333,0.25,0.3333333333333333,0.5,0.5,0.0,0.0,0.0,0.3172770920840804,0.3833194688173941,0,4,4,4,0,4,4,4
