method,fold_idx,patient_macro_f1,patient_macro_ez_f1,patient_macro_auprc_ez,patient_macro_ez_mrr,top1_is_ez_rate,n_patients
average_ictal_evidence_score,1,0.5767421540198306,0.3816516664415117,0.41842447890762335,0.5083994708994709,0.2777777777777778,18
average_ictal_evidence_score,2,0.6044815734573225,0.34219764433367844,0.377804623336828,0.5128747795414461,0.2777777777777778,18
average_ictal_evidence_score,3,0.6516153263846995,0.4422740659181114,0.4794166585511236,0.6100814694564695,0.4444444444444444,18
average_ictal_evidence_score,4,0.598107689315935,0.4389392162785845,0.4819448849900867,0.6000571188071189,0.4444444444444444,18
average_ictal_evidence_score,5,0.6427059777060307,0.47548517295327664,0.531308218086007,0.648550324196876,0.5555555555555556,18
extra_trees,1,0.5800370510026077,0.3901974807719912,0.46516485997689144,0.6259149029982364,0.4444444444444444,18
extra_trees,2,0.6333762214659868,0.39299715928139123,0.4513901194499841,0.633860153256705,0.4444444444444444,18
extra_trees,3,0.6533433124059655,0.45929949967239925,0.5169238372484248,0.817283950617284,0.7222222222222222,18
extra_trees,4,0.5582357245295944,0.40230303674294593,0.44644280143140036,0.5242470492470492,0.3888888888888889,18
extra_trees,5,0.6841231415870872,0.5482329496186468,0.5776597657993848,0.7094671201814059,0.6111111111111112,18
hist_gradient_boosting,1,0.6002828046955555,0.4252823024583392,0.4608183843571169,0.6366642616642617,0.5,18
hist_gradient_boosting,2,0.6257355093131469,0.38956752625168645,0.4448115980689927,0.700925925925926,0.5,18
hist_gradient_boosting,3,0.6557780318034698,0.4634960588430805,0.5285955912792865,0.7972951844903065,0.7222222222222222,18
hist_gradient_boosting,4,0.5601281362533371,0.39641220637234564,0.4540109716138847,0.5348429894111097,0.3888888888888889,18
hist_gradient_boosting,5,0.6532780794838617,0.5073882090783062,0.5547766016964069,0.7254290876242097,0.6111111111111112,18
linear_svm,1,0.5425514028739421,0.3247989139120036,0.37531483976986957,0.5386789623631728,0.3333333333333333,18
linear_svm,2,0.6160379075975837,0.35279511988040396,0.40328692965899904,0.6364197530864197,0.4444444444444444,18
linear_svm,3,0.6332514514484546,0.4283779072179548,0.46786614329695564,0.707010582010582,0.5555555555555556,18
linear_svm,4,0.5536455441835364,0.39649673838077776,0.4308275555574313,0.5961560044893379,0.4444444444444444,18
linear_svm,5,0.6049862058485567,0.42611271743665435,0.5100633358894737,0.7542063492063492,0.7222222222222222,18
logistic_elasticnet,1,0.6028419064593588,0.4340914397497392,0.5062043472822242,0.7740087145969499,0.7222222222222222,18
logistic_elasticnet,2,0.6716215609463467,0.46033010597230056,0.5043364590838773,0.718121693121693,0.5555555555555556,18
logistic_elasticnet,3,0.6412950385528484,0.44500476255653054,0.50514987229459,0.7893518518518519,0.6666666666666666,18
logistic_elasticnet,4,0.5344773334042396,0.3704054623523979,0.4405856949221329,0.6135491822991823,0.5555555555555556,18
logistic_elasticnet,5,0.6437894249516228,0.48732039480991496,0.5709538042209215,0.7229445282386459,0.6666666666666666,18
logistic_l2,1,0.5418207702229672,0.3273499332462,0.3677524726609286,0.5241727895236666,0.3333333333333333,18
logistic_l2,2,0.6078366095904292,0.3371123986055774,0.40233696338849223,0.6385802469135802,0.5,18
logistic_l2,3,0.6426832393323624,0.44572769412563207,0.4926424783603312,0.7472222222222222,0.6111111111111112,18
logistic_l2,4,0.5485181657103126,0.38889217982250057,0.4473882992570546,0.6562838468720822,0.5555555555555556,18
logistic_l2,5,0.6010783283067023,0.4200026363719983,0.5118173106369096,0.7539417989417989,0.7222222222222222,18
