center,n_channels,n_ez,ez_fraction,patient_ez_f1,patient_macro_f1,patient_auroc_ez,patient_auprc_ez,ez_mrr,recall_at_true_count,recall_lift,auprc_lift,is_high_ez_fraction
hup,101.86111111111111,17.11111111111111,0.18208722230341245,0.5096404757463177,0.6978890129298663,0.8083192701418552,0.5638288554408847,0.7939814814814814,0.5096404757463177,0.3275532534429052,0.38174163313747217,0.05555555555555555
lzu,104.71428571428571,38.17857142857143,0.3750981017998692,0.46228938196091846,0.5709739706186195,0.6032595468898704,0.49253471372300944,0.6637755102040817,0.46228938196091846,0.08719128016104928,0.11743661192314025,0.4642857142857143
multicenter,61.666666666666664,10.933333333333334,0.17469582418906832,0.4996181596181596,0.6956554605933459,0.7547576296187882,0.5382514546830008,0.6897979797979799,0.4996181596181596,0.3249223354290913,0.3635556304939325,0.13333333333333333
pediatric,117.0,24.363636363636363,0.221505481928253,0.32859425201415193,0.5673417607080617,0.5836901872317984,0.41388241169885764,0.5384529505582137,0.32859425201415193,0.1070887700858989,0.19237692977060467,0.09090909090909091
