reference,candidate,mean_delta,ci_low,ci_high,probability_delta_gt_zero,n_patients_improved,n_patients_worsened
M0_PAM,M2_PHASE_NETWORK,0.0,0.0,0.0,0.0,2,1
M0_PAM,M5_LIMITED_FINETUNE,0.0,0.0,0.0,0.0,3,0
