candidate_id,model,seed,outer_fold,strict_patient_macro_f1,true_k_patient_macro_f1,oracle_threshold_patient_macro_f1,oracle_prefix_patient_macro_f1,n_patients,n_channels
rbf_svm::seed_42,rbf_svm,42,1,0.49787310760710896,0.5637713740154573,0.6097083326604392,0.6097083326604392,18,1817
rbf_svm::seed_42,rbf_svm,42,2,0.5312944139037118,0.5719168274070202,0.6098589964230476,0.6109538412678924,18,1755
rbf_svm::seed_42,rbf_svm,42,3,0.5378240666654738,0.6378320941742778,0.6836642179250041,0.6836642179250041,18,1867
rbf_svm::seed_42,rbf_svm,42,4,0.485481692998784,0.5549246811493734,0.6073432708612008,0.6083024475767949,18,1807
rbf_svm::seed_42,rbf_svm,42,5,0.4447781021355308,0.5524905664601443,0.6149833495115394,0.6149833495115394,18,1565
v3::seed_0,v3,0,1,0.6360365792698534,0.6360365792698534,0.6775944198046445,0.6775944198046445,18,1817
v3::seed_0,v3,0,2,0.6364943858698742,0.6364943858698742,0.6893490309093009,0.6893490309093009,18,1755
v3::seed_0,v3,0,3,0.6530238326147858,0.6530238326147858,0.7088529579248218,0.7088529579248218,18,1867
v3::seed_0,v3,0,4,0.5814327716386587,0.5814327716386587,0.6357119606451782,0.6357119606451782,18,1807
v3::seed_0,v3,0,5,0.7065803209950392,0.7065803209950392,0.7498287788727828,0.7498287788727828,18,1565
