config,score_name,score_variant,gamma,fusion_space,fold_idx,patient_macro_f1,patient_macro_ez_f1,patient_macro_auprc_ez,patient_macro_ez_mrr,top1_is_ez_rate,n_patients
A9v8_LCBO_stage1b_gamma005_mrr_all90_posEZ,score_broad,score_broad,,score,1,0.6205967281343239,0.45577651470912905,0.5174478229828305,0.6534968479117416,0.5,18
A9v8_LCBO_stage1b_gamma005_mrr_all90_posEZ,score_broad,score_broad,,score,2,0.6169036724462467,0.3762099114302317,0.43240061027816196,0.5935185185185186,0.3888888888888889,18
A9v8_LCBO_stage1b_gamma005_mrr_all90_posEZ,score_broad,score_broad,,score,3,0.6621712119735277,0.46807574005448466,0.5328509251824136,0.7200080515297906,0.6111111111111112,18
A9v8_LCBO_stage1b_gamma005_mrr_all90_posEZ,score_broad,score_broad,,score,4,0.6134368372443343,0.4843143458125877,0.5278682088208254,0.7506944444444444,0.6666666666666666,18
A9v8_LCBO_stage1b_gamma005_mrr_all90_posEZ,score_broad,score_broad,,score,5,0.7062041647592081,0.5766633351619963,0.6193520219450309,0.7553071364046974,0.6666666666666666,18
A9v8_LCBO_stage1b_gamma005_mrr_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.00,0.0,score,1,0.6205967281343239,0.45577651470912905,0.5174478229828305,0.6534968479117416,0.5,18
A9v8_LCBO_stage1b_gamma005_mrr_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.00,0.0,score,2,0.6169036724462467,0.3762099114302317,0.43240061027816196,0.5935185185185186,0.3888888888888889,18
A9v8_LCBO_stage1b_gamma005_mrr_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.00,0.0,score,3,0.6621712119735277,0.46807574005448466,0.5328509251824136,0.7200080515297906,0.6111111111111112,18
A9v8_LCBO_stage1b_gamma005_mrr_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.00,0.0,score,4,0.6134368372443343,0.4843143458125877,0.5278682088208254,0.7506944444444444,0.6666666666666666,18
A9v8_LCBO_stage1b_gamma005_mrr_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.00,0.0,score,5,0.7062041647592081,0.5766633351619963,0.6193520219450309,0.7553071364046974,0.6666666666666666,18
A9v8_LCBO_stage1b_gamma005_mrr_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.02,0.02,score,1,0.6205967281343239,0.45577651470912905,0.5171304725609762,0.6534968479117416,0.5,18
A9v8_LCBO_stage1b_gamma005_mrr_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.02,0.02,score,2,0.6169036724462467,0.3762099114302317,0.4305302152404607,0.5935185185185186,0.3888888888888889,18
A9v8_LCBO_stage1b_gamma005_mrr_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.02,0.02,score,3,0.6621712119735277,0.46807574005448466,0.5329693737656824,0.7200080515297906,0.6111111111111112,18
A9v8_LCBO_stage1b_gamma005_mrr_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.02,0.02,score,4,0.6134368372443343,0.4843143458125877,0.5277730245360974,0.7506944444444444,0.6666666666666666,18
A9v8_LCBO_stage1b_gamma005_mrr_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.02,0.02,score,5,0.7062041647592081,0.5766633351619963,0.6191487668381348,0.7553071364046974,0.6666666666666666,18
A9v8_LCBO_stage1b_gamma005_mrr_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.05,0.05,score,1,0.6239502419045044,0.46194935421530187,0.5183788842681972,0.6534968479117416,0.5,18
A9v8_LCBO_stage1b_gamma005_mrr_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.05,0.05,score,2,0.6181352596084747,0.37784389835833626,0.4302384240149769,0.5796296296296296,0.3888888888888889,18
A9v8_LCBO_stage1b_gamma005_mrr_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.05,0.05,score,3,0.6642260743225077,0.4713437139106938,0.5323394613890976,0.7200080515297906,0.6111111111111112,18
A9v8_LCBO_stage1b_gamma005_mrr_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.05,0.05,score,4,0.6141881367894935,0.48508595075085936,0.5294163275986318,0.7599537037037037,0.6666666666666666,18
A9v8_LCBO_stage1b_gamma005_mrr_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.05,0.05,score,5,0.7070895682502276,0.5774925225583478,0.6193411745551244,0.7553071364046974,0.6666666666666666,18
