outer_fold,threshold,success_auprc,failure_auprc,auroc,macro_f1,weighted_f1,balanced_accuracy,accuracy,success_precision,success_recall,failure_precision,failure_recall,specificity_for_failure,brier,ece,true_failure_pred_failure,true_failure_pred_success,true_success_pred_failure,true_success_pred_success,tn,fp,fn,tp
1,0.5,0.6661877576033881,0.6089974900830165,0.5625,0.5204216073781291,0.5326557500470545,0.5208333333333334,0.5357142857142857,0.5882352941176471,0.625,0.45454545454545453,0.4166666666666667,0.4166666666666667,0.2703480651954349,0.23048463483606862,5,7,6,10,5,7,6,10
2,0.5,0.6259900173563058,0.5349957504369269,0.5364583333333333,0.5047619047619047,0.5224489795918367,0.5104166666666666,0.5357142857142857,0.5789473684210527,0.6875,0.4444444444444444,0.3333333333333333,0.3333333333333333,0.2525499409924467,0.1785892786205442,4,8,5,11,4,8,5,11
3,0.5,0.5823027131714074,0.3655690123081427,0.3796791443850267,0.42857142857142855,0.4591836734693877,0.4304812834224599,0.4642857142857143,0.5555555555555556,0.5882352941176471,0.3,0.2727272727272727,0.2727272727272727,0.38203068970095266,0.35613654825581764,3,8,7,10,3,8,7,10
4,0.5,0.7395254355780672,0.6017609504022547,0.6333333333333334,0.5397727272727273,0.5492424242424242,0.5416666666666666,0.5555555555555556,0.5882352941176471,0.6666666666666666,0.5,0.4166666666666667,0.4166666666666667,0.23172038288648378,0.11120618229830834,5,7,5,10,5,7,5,10
5,0.5,0.6322541126127578,0.4856226126814362,0.5416666666666666,0.5508021390374331,0.5645530939648588,0.5520833333333334,0.5714285714285714,0.6111111111111112,0.6875,0.5,0.4166666666666667,0.4166666666666667,0.31959206914252253,0.31350228370900346,5,7,5,11,5,7,5,11
