config,score_name,score_variant,gamma,fusion_space,patient_macro_f1,patient_macro_ez_f1,patient_macro_auprc_ez,patient_macro_ez_mrr,top1_is_ez_rate,n_patients
A9v8_LCBO_stage1b_gamma010_mrr_all90_posEZ,score_broad,score_broad,,score,0.6434439234283866,0.4720130660938576,0.5292275911247705,0.7045830698244054,0.5888888888888889,90
A9v8_LCBO_stage1b_gamma010_mrr_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.00,0.0,score,0.6434439234283866,0.4720130660938576,0.5292275911247705,0.7045830698244054,0.5888888888888889,90
A9v8_LCBO_stage1b_gamma010_mrr_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.02,0.02,score,0.6432094995650931,0.471720665231558,0.5291361406684325,0.7045830698244054,0.5888888888888889,90
A9v8_LCBO_stage1b_gamma010_mrr_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.05,0.05,score,0.6441608499819835,0.47336187457503365,0.5292833844596977,0.6999534401947759,0.5777777777777777,90
A9v8_LCBO_stage1b_gamma010_mrr_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.10,0.1,score,0.6446624607263026,0.4739587995903701,0.5288621519225913,0.691990477231813,0.5666666666666667,90
A9v8_LCBO_stage1b_gamma010_mrr_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.15,0.15,score,0.6449484951187968,0.47428915652641807,0.5298837928141112,0.6997219587132943,0.5777777777777777,90
A9v8_LCBO_stage1b_gamma010_mrr_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g-0.05,-0.05,score,0.6420461212405469,0.46875042064126426,0.5267088169660867,0.7045830698244054,0.5888888888888889,90
A9v8_LCBO_stage1b_gamma010_mrr_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g-0.10,-0.1,score,0.6400484715347908,0.46517829588492904,0.5243634062550424,0.7099534401947759,0.6,90
A9v8_LCBO_stage1b_gamma010_mrr_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g-0.20,-0.2,score,0.6433065017229777,0.47031571875187167,0.5231095384104095,0.7049666677080034,0.5888888888888889,90
A9v8_LCBO_stage1b_gamma010_mrr_all90_posEZ,score_core,score_core,,score,0.6429763737620007,0.4698223129051509,0.5229018701948679,0.6962205398584836,0.5888888888888889,90
A9v8_LCBO_stage1b_gamma010_mrr_all90_posEZ,score_eval,score_eval,,score,0.6439917579722665,0.4727242316891355,0.5288192665717,0.6943978846392204,0.5666666666666667,90
