center,success_auprc,failure_auprc,auroc,macro_f1,weighted_f1,balanced_accuracy,accuracy,success_precision,success_recall,failure_precision,failure_recall,specificity_for_failure,brier,ece,true_failure_pred_failure,true_failure_pred_success,true_success_pred_failure,true_success_pred_success,tn,fp,fn,tp
hup,0.6111339689486985,0.3476890858764913,0.4166666666666667,0.41489720256150997,0.45370504116712407,0.41388888888888886,0.44642857142857145,0.5757575757575758,0.5277777777777778,0.2608695652173913,0.3,0.3,0.29256157605165384,0.17085904928188522,6,14,17,19,6,14,17,19
lzu,0.507963959249087,0.7858058861961965,0.6699507389162561,0.5993589743589745,0.6019230769230769,0.6091954022988506,0.6,0.5185185185185185,0.6666666666666666,0.6956521739130435,0.5517241379310345,0.5517241379310345,0.25711839735293585,0.21559348461852126,16,13,7,14,16,13,7,14
multicenter,0.6915700235437078,0.25229596111949054,0.35555555555555557,0.49867374005305043,0.5805229253505116,0.5,0.5714285714285714,0.7142857142857143,0.6666666666666666,0.2857142857142857,0.3333333333333333,0.3333333333333333,0.2499448592298232,0.19386584455474154,2,4,5,10,2,4,5,10
pediatric,0.6232007575757575,0.49166666666666664,0.40625,0.5555555555555556,0.5925925925925926,0.5625,0.5833333333333334,0.7142857142857143,0.625,0.4,0.5,0.5,0.24606017798635813,0.3222850051716357,2,2,3,5,2,2,3,5
