center,outcome,n_patients,mean_target_fraction,std_target_fraction,q10_target_fraction,q50_target_fraction,q90_target_fraction,missing_count,all_zero_count,all_one_count
hup,0,20,0.14311524648219348,0.09948588061005477,0.03921568766236305,0.10827291011810303,0.2791666775941849,0,0,0
hup,1,36,0.18208722366640964,0.1215095878112495,0.060524748638272285,0.16050847619771957,0.3307291716337204,0,0,0
lzu,0,29,0.2935130316121825,0.1683571846005185,0.10715917795896532,0.265625,0.5336153626441955,0,0,0
lzu,1,21,0.38921061122701284,0.159931465224268,0.14423076808452606,0.4019607901573181,0.5701754093170166,0,0,0
multicenter,0,6,0.12199095947047074,0.05097979589392773,0.06573736853897572,0.12864460051059723,0.1715909093618393,0,0,0
multicenter,1,15,0.17469582681854565,0.1349105003205527,0.04426877573132515,0.1304347813129425,0.3849707722663879,0,0,0
pediatric,0,4,0.4076082408428192,0.27813163470432734,0.1582913786172867,0.4010860472917557,0.6621428579092026,0,0,0
pediatric,1,8,0.19068142538890243,0.13887728799613108,0.038885487243533134,0.2184397205710411,0.328952556848526,0,0,0
